market_type,market_label,security_code,symbol,company_name,primary_strategy_tag,watch_layer,evidence_level,current_action,one_sentence_thesis,buy_triggers,add_conditions,reduce_or_exit_conditions,key_metrics_to_track,core_risks,position_guidance,source_urls,reviewed_at_utc
US,美股,ADBE,ADBE,Adobe Inc.,E-落难白马候选,重点观察池,Level 3-经营仍验证但右侧未确认,关注但等待右侧确认,核心创意软件生态和现金流仍强，若AI替代风险被财报数据证伪且估值压缩后出现右侧修复，Adobe具备落难白马反弹潜力。,股价不再创新低并站回60日线；Creative/Document订阅收入和ARR继续增长；AI相关变现指标改善；管理层交接稳定。,财报验证订阅增长恢复；AI功能带来ARPU或留存提升；利润率未被AI推理成本显著压制；股价突破后回踩不破。,AI替代创意入口被证实；订阅增长连续下台阶；利润率被AI成本或竞争压制；管理层资本配置恶化；右侧突破失败。,Creative ARR/订阅收入；Digital Media ARR；Document Cloud增长；经营利润率；FCF；回购；AI产品付费转化。,生成式AI改变创意软件入口；增长放缓导致估值继续压缩；管理层交接风险；AI投入侵蚀利润率。,0%-3%观察/战术仓；未出现右侧确认前不进准核心。,https://www.adobe.com/investor-relations.html,2026-06-12T00:00:00+00:00
HK,港股,02228,02228.HK,晶泰控股 / XtalPi,D-产业链爆发型,重点观察池,Level 3-客户/订单/收入开始体现但利润票仍需持续验证,重点关注但不直接重仓,AI for Science平台叠加自动化机器人实验室，若AI药物发现和材料发现从研发工具走向规模化外包，晶泰控股可能成为AI应用中少数具备订单与交付闭环的瓶颈型平台。,收入连续高增长；药物发现或材料科学订单/里程碑增加；大客户复购和国际客户扩张；毛利率、经营亏损和经营现金流改善；股价放量突破并回踩不破。,财报验证收入可持续转化；AI4S智慧解决方案和药物发现解决方案同步增长；标杆药企/材料客户扩大合作；机器人实验室产能利用率提升；经营现金流接近转正。,订单无法转化为收入；项目型收入高度一次性；毛利率或费用率恶化；经营现金流持续流出且依赖融资；AI药物发现行业景气继续下行；估值提前计入过高AI叙事。,总收入；分部收入：药物发现解决方案/AI4S智慧解决方案；毛利率；研发费用率；经营现金流；现金余额；创收客户数；大客户复购；管线/IND进展；材料科学订单。,仍处早期商业化阶段；盈利质量和现金流仍需验证；AI药物发现从早研到临床成功不确定性高；客户与项目收入可能波动；融资和摊薄风险。,0%-1.5%哨兵仓或零仓观察；未连续验证利润票和现金流前不进准核心。,https://ir.xtalpi.com/cn/investor-relations/financial-reports/|https://ir.xtalpi.com/media/vanfv1am/2026032501036_c.pdf,2026-06-12T00:00:00+00:00
HK,港股,03888,03888.HK,金山软件 / Kingsoft,G-股东回报型低估/控股公司折价候选,重点观察池,Level 3-资产折价明确但价值释放路径需验证,重点关注,控股平台以折价价格间接持有金山办公，同时保留游戏、现金和金山云AI云期权；若办公AI继续增长且控股公司折价收敛，具备低估修复空间。,控股折价继续扩大但金山办公基本面未恶化；金山办公AI/WPS 365收入持续高增；游戏业务企稳；公司回购或提升分红；股价放量站回中期均线并回踩不破。,金山办公收入和付费用户继续增长；金山软件经营现金流改善；游戏新品或长线运营验证；金山云AI云亏损收窄；折价收敛前估值仍有安全边际。,金山办公估值或增长被证伪；游戏业务继续下滑且无新品接力；控股公司折价长期无释放路径；金山云AI云重资本投入拖累现金流；管理层资本配置恶化。,金山软件市值与所持金山办公股权价值折价；金山办公收入/WPS AI月活/付费用户；游戏收入；现金和银行存款；回购和分红；金山云收入、毛利率、亏损和资本开支。,控股公司折价可能长期存在；金山办公A股估值本身可能偏高；金山办公股权不易变现；游戏业务波动；金山云重资本投入和亏损风险。,0%-3%观察/战术仓；若折价足够大且办公业务继续验证，可进入准核心候选。,https://ir.kingsoft.com/|https://ir.kingsoft.com/static-files/999c2fb6-9739-4c00-a3d7-ec00dc5430b6|https://ir.kingsoft.com/system/files-encrypted/nasdaq_kms/news/2026/05/27/5-04-28/%5BPress%20Release%5D%20Kingsoft%20Announces%202026%20First%20Quarter%20Results.pdf,2026-06-12T00:00:00+00:00
US,美股,FINV,FINV,FinVolution Group,B-烟蒂低估/G-股东回报型低估,重点观察池,Level 4-盈利和股东回报已验证但信用周期承压,重点关注但不进核心,市值明显低于账面权益且持续分红回购，海外业务增长提供第二曲线；但国内交易量和利润下行说明它是信用周期烟蒂而非高护城河成长股。,估值继续低于保守净资产；国内监管压力边际缓和；逾期率稳定或下降；海外收入占比和利润继续提升；回购和20%-30%分红政策持续执行。,海外业务收入和经营利润连续增长；中国大陆交易量恢复；贷款质量改善；2026年收入指引不再下修；回购价格低于内在价值并持续注销或减少ADS。,国内监管或信用质量恶化；90天以上逾期率上升；收入指引继续下降；海外扩张亏损放大；回购停止且现金被低效投资；金融监管导致盈利模型被重估。,总交易量；中国大陆/海外收入；海外经营利润；90天以上逾期率；现金和短期投资；股东权益；分红率；回购金额；收入指引。,消费金融和助贷业务受监管、信用周期和宏观就业影响；技术壁垒有限；资本可以进入部分环节；表内贷款扩张会放大信用损失。,0%-5%观察或烟蒂仓；只有在信用质量和海外盈利持续验证后才考虑准核心。,https://ir.finvgroup.com/2026-05-25-FinVolution-Group-Reports-First-Quarter-2026-Unaudited-Financial-Results|https://ir.finvgroup.com/2026-05-25-FinVolution-Group-Announces-New-Share-Repurchase-Program-of-Up-to-US-150-million|https://stockanalysis.com/stocks/finv/,2026-06-13T00:00:00+00:00
US,美股,WB,WB,Weibo Corporation,G-股东回报型低估/E-落难平台候选,重点观察池,Level 4-现金流和股东回报已验证但增长弱,值得关注,微博仍有大型社交媒体平台流量、广告现金流和较高现金储备，估值和股息率体现明显悲观预期；若广告恢复和AI搜索/内容分发改善持续，具备低估修复价值。,广告收入连续恢复；MAU/DAU稳定或提升；经营现金流保持强劲；股息或回购维持；股价站回中期均线并放量确认。,非阿里广告收入继续增长；经营利润率稳定在25%以上；VAS下滑收窄；投资公允价值损失减少；现金和短投维持高位；股东回报政策延续。,用户活跃度下降；广告增长再次转负；监管和内容风险上升；非经营投资亏损持续侵蚀利润；高股息不可持续；平台影响力被短视频和小红书等替代。,MAU；DAU；广告和营销收入；非阿里广告收入；VAS收入；经营利润率；经营现金流；现金和短期投资；股息率；投资公允价值损益。,中国互联网广告周期弱；增长中枢低；内容监管风险；用户注意力被其他平台分流；投资资产波动会影响GAAP利润。,0%-5%观察/低估平台仓；若广告修复持续且股东回报稳定，可进入准核心候选。,https://www.sec.gov/Archives/edgar/data/1595761/000110465926067141/tm2615571d1_ex99-1.htm|https://stockanalysis.com/stocks/wb/,2026-06-13T00:00:00+00:00
US,美股,PDD,PDD,PDD Holdings Inc.,C-GARP平台型低估,重点观察池,Level 4-高盈利和现金资产已验证但利润压力需跟踪,重点关注,PDD不是传统烟蒂，但现金和短投极厚、平台盈利能力强，当前估值主要反映Temu政策风险和供应链投入压力；若利润下修企稳，具备高赔率低估平台价值。,股价企稳；Q2/Q3收入增速和利润率不再继续恶化；Temu关税/小额包裹政策冲击可量化；现金和短投继续增加；管理层开始回购或明确股东回报。,交易服务收入继续增长；经营利润率维持高位；经营现金流持续为正；供应链投入转化为商家供给和履约优势；国内主站竞争优势未被价格战侵蚀。,Temu政策风险扩大；供应链和一方品牌投入长期压低利润；国内电商竞争导致货币化率下降；没有分红回购导致现金折价长期存在；平台治理或跨境监管风险上升。,总收入；交易服务收入；在线营销收入；经营利润率；Non-GAAP净利；经营现金流；现金/短投/其他债券投资；Temu政策变化；股东回报动作。,跨境政策和关税风险高；管理层资本配置透明度有限；短期利润可能继续被投资压制；国内电商价格战和商家补贴压力。,0%-8%重点观察/准核心候选；确认利润企稳和政策风险可控前不进入核心。,https://www.sec.gov/Archives/edgar/data/1737806/000110465926067186/tm2615739d1_ex99-1.htm|https://stockanalysis.com/stocks/pdd/,2026-06-13T00:00:00+00:00
US,美股,JD,JD,JD.com Inc.,E-落难白马/G-股东回报型低估,重点观察池,Level 4-核心零售盈利和回购已验证但新业务拖累明显,关注但等待新业务亏损继续收敛,京东拥有自营零售、供应链和物流资产壁垒，估值不贵且持续大额回购；但合并利润和自由现金流正被外卖、欧洲零售等新业务拖累，当前更像落难龙头而非纯烟蒂。,新业务亏损继续环比收窄；JD Retail经营利润率稳定或提升；自由现金流恢复；回购继续推进；股价站回中期均线并放量确认。,零售服务收入和广告/平台收入增长；物流外部收入提升且利润率改善；外卖业务单位经济改善；年度自由现金流恢复；回购减少股本。,外卖价格战长期化；欧洲并购和海外扩张消耗现金；零售主业增长停滞；自由现金流持续低迷；低毛利重资产模式被市场继续低估。,JD Retail收入和经营利润率；JD Logistics外部收入和利润；New Businesses亏损；自由现金流；现金和短投；回购金额；年度活跃客户和购物频次。,低毛利重资产零售；中国电商竞争强；新业务投入不确定；外卖与海外并购可能稀释主业价值；员工和履约成本刚性。,0%-5%观察/反转仓；只有在自由现金流和新业务亏损改善被连续验证后才考虑准核心。,https://www.sec.gov/Archives/edgar/data/1549802/000119312526218013/d128173dex991.htm|https://stockanalysis.com/stocks/jd/,2026-06-13T00:00:00+00:00
A_SHARE,A股,002594,002594.SZ,比亚迪 / BYD,C-GARP成长/产业链龙头,核心候选池,Level 4-技术和规模壁垒已验证但价格战需跟踪,值得关注但不因短期估值自动加仓,新能源汽车和电池垂直一体化龙头，技术体系、规模制造和供应链协同难以仅靠资本短期复制；但汽车价格战和资本开支会压制利润弹性。,行业价格战缓和；出口和高端车型占比提升；智能化和电池业务利润验证；股价回到合理估值区间并右侧企稳。,毛利率和净利率止跌；经营现金流改善；海外销量和高端品牌放量；动力电池外供或储能业务利润提升；研发投入继续保持领先。,价格战导致利润率持续下台阶；新能源车份额被持续侵蚀；库存和应收恶化；资本开支回报低于预期；技术路线被竞争对手反超。,汽车销量；单车利润；毛利率；经营现金流；出口销量；高端品牌销量；电池装机和外供；研发费用率。,汽车行业价格战；重资产扩张；海外贸易壁垒；利润率波动；垂直一体化在下行周期会放大经营杠杆。,核心候选；当前更适合持有观察，估值和利润率改善后再加仓。,data/interim/a_share_financial_indicators.csv|https://static.cninfo.com.cn/finalpage/enpage/002594_2.pdf|https://qt.gtimg.cn/q=sz002594,2026-06-13T00:00:00+00:00
A_SHARE,A股,688617,688617.SH,惠泰医疗 / Apt Medical,C-GARP成长/医疗器械高壁垒,核心候选池,Level 4-高增长高利润已验证,值得重点关注但控制估值风险,电生理和血管介入等细分高值耗材平台具备研发、渠道和临床验证壁垒，利润率和现金流质量高，是医疗器械里更符合核心候选的公司。,业绩增速维持；集采风险可控；新品放量；估值回到可接受区间；右侧企稳。,收入和利润继续双位数增长；毛利率稳定；研发投入转化为新品；海外或新科室放量；经营现金流跟随利润增长。,集采或价格管制显著压缩利润；核心产品增长放缓；研发管线失败；费用率失控；估值严重透支未来增长。,电生理收入；血管介入收入；毛利率；净利率；研发费用率；经营现金流；新品注册和放量；集采政策。,医疗控费和集采；单一细分赛道天花板；高估值波动；研发和注册不确定性。,核心候选；若估值不过度透支，可维持较高关注或准核心仓。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh688617,2026-06-13T00:00:00+00:00
A_SHARE,A股,300760,300760.SZ,迈瑞医疗 / Mindray,E-落难白马/医疗器械平台,重点观察池,Level 4-长期壁垒已验证但短期业绩承压,关注业绩拐点，不因下跌自动加仓,国内医疗设备平台龙头具备产品矩阵、渠道、研发和医院装机基础，但短期受医疗反腐、设备采购节奏和增长降档影响，当前更像落难白马。,医院采购恢复；收入和利润停止下修；经营现金流改善；海外业务继续增长；股价右侧确认。,体外诊断、生命信息与支持、医学影像收入恢复；毛利率稳定；费用控制有效；海外高端市场渗透提升。,增长中枢长期下移；核心产品被国产同行侵蚀；控费导致利润率持续下降；海外扩张不及预期；估值仍高但增长无法匹配。,分部收入；毛利率；净利率；经营现金流；海外收入；医院招采恢复；研发费用率。,医疗反腐和控费；国内医院采购周期；高端设备国际竞争；估值和增长匹配度。,重点观察；等待业绩止跌和右侧确认后再考虑提高仓位。,data/interim/a_share_financial_indicators.csv|https://www.mindray.com/en/investor-relations|https://qt.gtimg.cn/q=sz300760,2026-06-13T00:00:00+00:00
