peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
休闲、生活及专业服务-专业服务-其他专业服务,300215,电科院,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,directly retained as a national electrical-apparatus testing and standards platform,电科院拥有高低压电器、变压器、智能电网、防爆、电磁兼容、抗震等检测校准能力，设有多个国家/行业质检与评定中心，并参与电气标准体系。该类高压大容量试验条件、标准地位、客户认可和长期工程数据不是单纯资金短期可复制。,Retained. 电科院: 电科院拥有高低压电器、变压器、智能电网、防爆、电磁兼容、抗震等检测校准能力，设有多个国家/行业质检与评定中心，并参与电气标准体系。该类高压大容量试验条件、标准地位、客户认可和长期工程数据不是单纯资金短期可复制。 triage 75.95; moat 76.53; technology 93.58; market 72.79; quality 59.35; governance 70.94.,"Retain national electrical testing platforms when specialized labs, standards participation, grid qualification, and project references reinforce each other.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300215;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300215.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300215.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=300215;https://www.eeti.cn,2026-06-09T14:13:13+00:00
休闲、生活及专业服务-专业服务-其他专业服务,600452,涪陵电力,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,retained after boundary review as a small regulated distribution-utility and energy-saving operator,涪陵电力的电网运营集中在重庆涪陵区域，并开展配电网节能EMC业务。区域配电牌照和供电网络具备天然进入壁垒，但范围小、成长性有限，因此作为稳定垄断/节能服务边界案例观察，而非高成长核心平台。,Retained after boundary review. 涪陵电力: 涪陵电力的电网运营集中在重庆涪陵区域，并开展配电网节能EMC业务。区域配电牌照和供电网络具备天然进入壁垒，但范围小、成长性有限，因此作为稳定垄断/节能服务边界案例观察，而非高成长核心平台。 triage 66.29; moat 80.94; technology 40.00; market 82.82; quality 69.74; governance 71.91.,Boundary-retain local regulated utilities only when licensed network control is real; cap confidence when geography and growth runway are narrow.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600452;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600452.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600452.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600452;https://www.flpower.com.cn,2026-06-09T14:13:13+00:00
休闲、生活及专业服务-专业服务-其他专业服务,300962,中金辐照,borderline,watch,direct_watch,analyst_company_by_company_review,directly retained as a regulated irradiation-sterilization service network,中金辐照以钴-60和电子加速器提供医疗、食品、药品、包装材料灭菌及高分子改性服务，具备全国性大型辐照装置布局、放射源监管资质、工艺质量控制和长期客户验证。资金可以买设备，但不能快速取得源项、牌照、装置网络和客户灭菌验证。,Retained. 中金辐照: 中金辐照以钴-60和电子加速器提供医疗、食品、药品、包装材料灭菌及高分子改性服务，具备全国性大型辐照装置布局、放射源监管资质、工艺质量控制和长期客户验证。资金可以买设备，但不能快速取得源项、牌照、装置网络和客户灭菌验证。 triage 61.95; moat 52.35; technology 73.73; market 58.21; quality 62.94; governance 71.12.,"Retain regulated sterilization platforms when licensing, source control, plant network, process validation, and customer quality systems are jointly hard to copy.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300962;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300962.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300962.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=300962;https://www.zjfzgroup.com,2026-06-09T14:13:13+00:00
休闲、生活及专业服务-专业服务-其他专业服务,301632,广东建科,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,retained after boundary review as a construction-science and engineering-testing platform,广东建科源自广东省建科院，覆盖建设工程检测、建筑风工程、幕墙、消防、绿色建材认证等领域，拥有大型民用建筑风洞和建设工程材料智能检验设施。建工检测整体区域性较强，但其科研平台、政府技术支撑和特殊实验设施使其区别于普通工程检测公司。,Retained after boundary review. 广东建科: 广东建科源自广东省建科院，覆盖建设工程检测、建筑风工程、幕墙、消防、绿色建材认证等领域，拥有大型民用建筑风洞和建设工程材料智能检验设施。建工检测整体区域性较强，但其科研平台、政府技术支撑和特殊实验设施使其区别于普通工程检测公司。 triage 61.29; moat 56.03; technology 67.76; market 68.32; quality 58.50; governance 70.41.,"Boundary-retain construction-science institutes only when special labs, government technical support roles, and differentiated test capabilities exceed ordinary regional inspection work.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301632;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301632.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301632.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=301632;https://www.gdjky.com,2026-06-09T14:13:13+00:00
休闲、生活及专业服务-专业服务-其他专业服务,603300,海南华铁,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,retained after boundary review as a scale equipment-operation platform,海南华铁在地铁钢支撑、高空作业平台、地下维修维护设备及算力设备运营中具备规模和数字化调度能力。设备租赁资本可进入，但高利用率网络、维护能力、客户覆盖和品类协同需要时间沉淀，因此作为规模运营型边界观察。,Retained after boundary review. 海南华铁: 海南华铁在地铁钢支撑、高空作业平台、地下维修维护设备及算力设备运营中具备规模和数字化调度能力。设备租赁资本可进入，但高利用率网络、维护能力、客户覆盖和品类协同需要时间沉淀，因此作为规模运营型边界观察。 triage 60.91; moat 59.12; technology 58.52; market 80.15; quality 58.38; governance 66.35.,"Boundary-retain equipment-rental platforms only when fleet scale, utilization network, maintenance capability, and data operations are visible.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603300;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603300.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603300.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603300;https://www.zjhuatie.cn,2026-06-09T14:13:13+00:00
休闲、生活及专业服务-专业服务-其他专业服务,301091,深城交,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,retained after boundary review as a smart-transport infrastructure and data platform,深城交从交通规划咨询延伸到智慧交通基础设施、TransPaaS平台和地空一体交通系统，服务大量国内重点城市及海外城市。传统规划设计可复制，但城市交通数据、场景算法、深圳智慧城市股东资源和跨城项目经验提供差异化。,Retained after boundary review. 深城交: 深城交从交通规划咨询延伸到智慧交通基础设施、TransPaaS平台和地空一体交通系统，服务大量国内重点城市及海外城市。传统规划设计可复制，但城市交通数据、场景算法、深圳智慧城市股东资源和跨城项目经验提供差异化。 triage 60.86; moat 55.74; technology 71.55; market 65.91; quality 53.18; governance 69.62.,Boundary-retain urban-technology consultants only when domain data platforms and city operating references move the business beyond labor-hour consulting.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301091;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301091.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301091.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=301091;https://www.sutpc.com,2026-06-09T14:13:13+00:00
休闲、生活及专业服务-专业服务-其他专业服务,600662,外服控股,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,retained after boundary review as the only scaled HR outsourcing platform in this group,外服控股旗下上海外服拥有全国分支和服务网点、庞大企业客户与雇员服务规模，并形成咨询、技术和外包一体化能力。人力资源服务不是硬科技，且行业劳动密集，但合规流程、客户嵌入和全国网络使其强于普通招聘/派遣公司。,Retained after boundary review. 外服控股: 外服控股旗下上海外服拥有全国分支和服务网点、庞大企业客户与雇员服务规模，并形成咨询、技术和外包一体化能力。人力资源服务不是硬科技，且行业劳动密集，但合规流程、客户嵌入和全国网络使其强于普通招聘/派遣公司。 triage 60.22; moat 59.85; technology 57.61; market 82.56; quality 46.97; governance 66.79.,"Boundary-retain HR service platforms only when national network, compliance process, sticky enterprise accounts, and service scale are materially stronger than peers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600662;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600662.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600662.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600662;https://www.fsg.com.cn,2026-06-09T14:13:13+00:00
休闲、生活及专业服务-专业服务-其他专业服务,301396,宏景科技,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company review under the professional-services calibration.,smart-city and compute integration is mainly project/system-integration work without a hard-to-copy platform versus retained transport-data and semiconductor-service niches.,Rejected for now. 宏景科技: smart-city and compute integration is mainly project/system-integration work without a hard-to-copy platform versus retained transport-data and semiconductor-service niches. triage 59.02; moat 56.44; technology 65.18; market 59.21; quality 62.24; governance 65.26.,Reject project-based smart-city/system-integration vendors unless proprietary data platforms or irreplaceable domain workflow control is evident.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301396;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301396.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301396.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=301396;https://www.gloryview.com,2026-06-09T14:13:13+00:00
休闲、生活及专业服务-专业服务-其他专业服务,301337,亚华电子,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company review under the professional-services calibration.,"hospital communication hardware/software has product specialization, but large HIS, device, or integrator competitors can replicate the function; evidence does not show an irreplaceable platform.","Rejected for now. 亚华电子: hospital communication hardware/software has product specialization, but large HIS, device, or integrator competitors can replicate the function; evidence does not show an irreplaceable platform. triage 57.96; moat 55.18; technology 71.70; market 45.32; quality 63.18; governance 70.74.",Reject narrow hospital IT hardware niches when customer lock-in and platform breadth are weaker than retained healthcare or software leaders.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301337;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301337.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301337.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=301337;https://www.yarward.com,2026-06-09T14:13:13+00:00
休闲、生活及专业服务-专业服务-其他专业服务,002967,广电计量,reject,watch,direct_watch,analyst_company_by_company_review,directly retained as a strategic full-chain metrology and reliability-testing platform,广电计量在计量校准、可靠性与环境工程、电磁兼容等领域处于行业前列，覆盖高端装备、航空、新能源、轨交、半导体、软件信息等战略行业，并具备CNAS、CMA、CATL等资质。全国实验室网络、授权资质和多行业客户验证构成复合壁垒。,Retained. 广电计量: 广电计量在计量校准、可靠性与环境工程、电磁兼容等领域处于行业前列，覆盖高端装备、航空、新能源、轨交、半导体、软件信息等战略行业，并具备CNAS、CMA、CATL等资质。全国实验室网络、授权资质和多行业客户验证构成复合壁垒。 triage 57.69; moat 47.38; technology 60.39; market 69.91; quality 61.50; governance 67.74.,"Retain comprehensive TIC platforms when nationwide lab coverage, regulated authorization, reliability/EMC capability, and strategic-industry customers create compounding barriers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002967;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002967.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002967.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=002967;https://www.grgtest.com,2026-06-09T14:13:13+00:00
