peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
化石能源-煤炭-煤炭开采洗选,601088,中国神华,borderline,watch,direct_watch,analyst_company_by_company_review,direct watch for integrated coal-power-rail-port national platform,"中国神华 is retained as the clear coal benchmark because coal reserves, low-cost production, power generation, railways, ports, and shipping form an integrated system that capital alone cannot quickly reproduce. Long-term coal headwinds remain, but the company-level moat is exceptional within the sector.","Watch. 中国神华: 中国神华 is retained as the clear coal benchmark because coal reserves, low-cost production, power generation, railways, ports, and shipping form an integrated system that capital alone cannot quickly reproduce. Long-term coal headwinds remain, but the company-level moat is exceptional within the sector. triage 63.26; moat 63.00; technology 60.33; market 83.50; quality 60.77; governance 71.54.","Coal groups should retain only exceptional resource-cost, integration, global, or scarce coking-coal platforms; ordinary commodity-cycle miners are rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601088,2026-06-10T00:00:00+00:00
化石能源-煤炭-煤炭开采洗选,601225,陕西煤业,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for low-cost Shaanxi coal-resource quality,"陕西煤业 is retained as a boundary resource-quality case because high-quality Shaanxi reserves and low-cost mining economics are materially stronger than ordinary regional coal producers. It lacks 神华-like full integration, so it is not direct-watch.","Watch. 陕西煤业: 陕西煤业 is retained as a boundary resource-quality case because high-quality Shaanxi reserves and low-cost mining economics are materially stronger than ordinary regional coal producers. It lacks 神华-like full integration, so it is not direct-watch. triage 53.62; moat 48.62; technology 47.08; market 73.50; quality 56.62; governance 69.85.","Coal groups should retain only exceptional resource-cost, integration, global, or scarce coking-coal platforms; ordinary commodity-cycle miners are rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601225,2026-06-10T00:00:00+00:00
化石能源-煤炭-煤炭开采洗选,601898,中煤能源,reject,reject_for_now,,analyst_company_by_company_review,rejected because coal exposure lacks exceptional resource-cost or integration moat,"中煤能源: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases.","Reject for now. 中煤能源: 中煤能源: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases. triage 53.41; moat 48.23; technology 49.92; market 72.88; quality 52.31; governance 69.38.","Coal groups should retain only exceptional resource-cost, integration, global, or scarce coking-coal platforms; ordinary commodity-cycle miners are rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601898,2026-06-10T00:00:00+00:00
化石能源-煤炭-煤炭开采洗选,600348,华阳股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because coal exposure lacks exceptional resource-cost or integration moat,"华阳股份: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases.","Reject for now. 华阳股份: 华阳股份: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases. triage 52.90; moat 48.54; technology 53.75; market 62.58; quality 59.85; governance 68.23.","Coal groups should retain only exceptional resource-cost, integration, global, or scarce coking-coal platforms; ordinary commodity-cycle miners are rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600348,2026-06-10T00:00:00+00:00
化石能源-煤炭-煤炭开采洗选,600188,兖矿能源,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for globalized coal-resource portfolio,"兖矿能源 is retained as a boundary case because its scale and overseas/resource portfolio create a differentiated coal-resource thesis. Commodity exposure, leverage/capital intensity, and weaker integration keep it below 中国神华.","Watch. 兖矿能源: 兖矿能源 is retained as a boundary case because its scale and overseas/resource portfolio create a differentiated coal-resource thesis. Commodity exposure, leverage/capital intensity, and weaker integration keep it below 中国神华. triage 52.51; moat 50.85; technology 46.00; market 70.88; quality 57.54; governance 66.62.","Coal groups should retain only exceptional resource-cost, integration, global, or scarce coking-coal platforms; ordinary commodity-cycle miners are rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600188,2026-06-10T00:00:00+00:00
化石能源-煤炭-煤炭开采洗选,002128,电投能源,reject,reject_for_now,,analyst_company_by_company_review,rejected because coal exposure lacks exceptional resource-cost or integration moat,"电投能源: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases.","Reject for now. 电投能源: 电投能源: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases. triage 52.04; moat 46.69; technology 42.67; market 67.19; quality 64.08; governance 71.00.","Coal groups should retain only exceptional resource-cost, integration, global, or scarce coking-coal platforms; ordinary commodity-cycle miners are rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002128,2026-06-10T00:00:00+00:00
化石能源-煤炭-煤炭开采洗选,601001,晋控煤业,reject,reject_for_now,,analyst_company_by_company_review,rejected because coal exposure lacks exceptional resource-cost or integration moat,"晋控煤业: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases.","Reject for now. 晋控煤业: 晋控煤业: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases. triage 51.62; moat 46.62; technology 48.75; market 57.65; quality 63.38; governance 70.77.","Coal groups should retain only exceptional resource-cost, integration, global, or scarce coking-coal platforms; ordinary commodity-cycle miners are rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601001,2026-06-10T00:00:00+00:00
化石能源-煤炭-煤炭开采洗选,000983,山西焦煤,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for scarce coking-coal resource exposure,"山西焦煤 is retained as a boundary scarce coking-coal case. Metallurgical coal resource scarcity and group platform relevance differentiate it from generic thermal-coal miners, though industry cyclicality and regional concentration require deeper review.","Watch. 山西焦煤: 山西焦煤 is retained as a boundary scarce coking-coal case. Metallurgical coal resource scarcity and group platform relevance differentiate it from generic thermal-coal miners, though industry cyclicality and regional concentration require deeper review. triage 51.58; moat 47.08; technology 51.25; market 65.96; quality 53.15; governance 67.54.","Coal groups should retain only exceptional resource-cost, integration, global, or scarce coking-coal platforms; ordinary commodity-cycle miners are rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000983,2026-06-10T00:00:00+00:00
化石能源-煤炭-煤炭开采洗选,600985,淮北矿业,reject,reject_for_now,,analyst_company_by_company_review,rejected because coal exposure lacks exceptional resource-cost or integration moat,"淮北矿业: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases.","Reject for now. 淮北矿业: 淮北矿业: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases. triage 50.98; moat 47.46; technology 50.58; market 67.50; quality 42.69; governance 68.92.","Coal groups should retain only exceptional resource-cost, integration, global, or scarce coking-coal platforms; ordinary commodity-cycle miners are rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600985,2026-06-10T00:00:00+00:00
化石能源-煤炭-煤炭开采洗选,601699,潞安环能,reject,reject_for_now,,analyst_company_by_company_review,rejected because coal exposure lacks exceptional resource-cost or integration moat,"潞安环能: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases.","Reject for now. 潞安环能: 潞安环能: The company has coal mining, coal chemical, coal-power, or regional resource exposure, but the evidence does not show exceptional low-cost reserves, national vertical integration, globalized resource portfolio, or scarce coking-coal position strong enough versus retained coal cases. triage 50.62; moat 46.31; technology 50.17; market 62.88; quality 50.31; governance 70.08.","Coal groups should retain only exceptional resource-cost, integration, global, or scarce coking-coal platforms; ordinary commodity-cycle miners are rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601699,2026-06-10T00:00:00+00:00
