peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
基础化工-化学制品-涂料涂漆,301683,慧谷新材,borderline,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"慧谷新材: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 慧谷新材: 慧谷新材: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 62.05; moat 58.00; technology 68.00; market 67.79; quality 64.86; governance 72.00.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=301683,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,002256,兆新股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"兆新股份: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 兆新股份: 兆新股份: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 59.58; moat 52.14; technology 59.86; market 56.36; quality 58.86; governance 70.29.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002256,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,603737,三棵树,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for national architectural-coatings brand and channel system,"三棵树 is retained as the clearest architectural coatings and waterproofing brand/channel platform in this group. Property-cycle pressure and competitive coating capacity keep it boundary, but brand, distribution, specification access, and product system are stronger than ordinary coating producers.","Watch. 三棵树: 三棵树 is retained as the clearest architectural coatings and waterproofing brand/channel platform in this group. Property-cycle pressure and competitive coating capacity keep it boundary, but brand, distribution, specification access, and product system are stronger than ordinary coating producers. triage 54.96; moat 52.00; technology 50.14; market 75.50; quality 57.00; governance 65.43.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603737,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,603826,坤彩科技,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for pearlescent/specialty pigment material process niche,坤彩科技 is retained as a boundary specialty pigment/material case because pearlescent materials and synthetic mica/titanium-related process routes are more technical than ordinary architectural coating capacity. The business still needs deeper validation of economics and customer concentration.,Watch. 坤彩科技: 坤彩科技 is retained as a boundary specialty pigment/material case because pearlescent materials and synthetic mica/titanium-related process routes are more technical than ordinary architectural coating capacity. The business still needs deeper validation of economics and customer concentration. triage 54.06; moat 44.71; technology 57.00; market 53.21; quality 52.86; governance 67.14.,Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603826,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,603823,百合花,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"百合花: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 百合花: 百合花: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 53.65; moat 50.57; technology 52.14; market 68.93; quality 49.43; governance 70.57.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603823,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,000565,渝三峡Ａ,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"渝三峡Ａ: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 渝三峡Ａ: 渝三峡Ａ: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 52.65; moat 50.00; technology 62.71; market 47.79; quality 53.29; governance 71.14.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000565,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,603062,麦加芯彩,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"麦加芯彩: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 麦加芯彩: 麦加芯彩: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 52.02; moat 46.86; technology 48.57; market 68.64; quality 50.71; governance 69.71.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603062,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,300225,*ST金泰,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"*ST金泰: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. *ST金泰: *ST金泰: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 50.04; moat 43.29; technology 57.29; market 52.64; quality 53.71; governance 68.86.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300225,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,600727,鲁北化工,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"鲁北化工: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 鲁北化工: 鲁北化工: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 49.93; moat 51.29; technology 45.00; market 67.50; quality 42.00; governance 67.57.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600727,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,688129,东来技术,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"东来技术: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 东来技术: 东来技术: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 49.66; moat 42.57; technology 49.86; market 54.07; quality 62.00; governance 68.43.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=688129,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,001335,信凯科技,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"信凯科技: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 信凯科技: 信凯科技: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 48.70; moat 45.43; technology 45.71; market 61.21; quality 46.57; governance 68.00.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=001335,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,301037,保立佳,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"保立佳: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 保立佳: 保立佳: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 46.82; moat 46.14; technology 47.43; market 58.07; quality 39.71; governance 65.86.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=301037,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,300665,飞鹿股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"飞鹿股份: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 飞鹿股份: 飞鹿股份: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 46.06; moat 41.86; technology 56.57; market 44.36; quality 39.14; governance 66.29.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300665,2026-06-10T00:00:00+00:00
基础化工-化学制品-涂料涂漆,002319,乐通股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because coating/pigment exposure lacks enough differentiated moat,"乐通股份: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases.","Reject for now. 乐通股份: 乐通股份: The company has coating, paint, ink, pigment, resin, or related chemical-material exposure, but the evidence does not show national brand/channel dominance or specialty material process advantage strong enough versus retained coating and pigment cases. triage 45.09; moat 39.71; technology 53.43; market 40.93; quality 45.86; governance 66.71.",Coatings groups should retain only national brand/channel leaders or specialty pigment/material process niches; ordinary coating capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002319,2026-06-10T00:00:00+00:00
