peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
化石能源-石油天然气-石油加工,000698,ST沈化,reject,reject,,analyst_company_by_company_review,rejected because ST status and PVC paste resin/chemical capacity are specialty but still commodity-cycle and covered by stronger chemical-material platforms,rejected because ST status and PVC paste resin/chemical capacity are specialty but still commodity-cycle and covered by stronger chemical-material platforms,Reject. ST沈化: rejected because ST status and PVC paste resin/chemical capacity are specialty but still commodity-cycle and covered by stronger chemical-material platforms. triage 57.79; moat 58.33; technology 64.69; market 64.83; quality 50.65; governance 67.20.,"Petroleum refining review should focus on irreplaceable resource/infrastructure and integrated scale, not current oil-price margins or promotional low-carbon transition language.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000698;https://www.syhg.chemchina.com,2026-06-10T00:00:00+00:00
化石能源-石油天然气-石油加工,603798,康普顿,reject,reject,,analyst_company_by_company_review,rejected because lubricants and fuel-cell transition claims lack durable moat versus global lubricant majors and powertrain technology leaders,rejected because lubricants and fuel-cell transition claims lack durable moat versus global lubricant majors and powertrain technology leaders,Reject. 康普顿: rejected because lubricants and fuel-cell transition claims lack durable moat versus global lubricant majors and powertrain technology leaders. triage 56.40; moat 53.67; technology 61.00; market 54.17; quality 58.90; governance 72.00.,"Petroleum refining review should focus on irreplaceable resource/infrastructure and integrated scale, not current oil-price margins or promotional low-carbon transition language.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603798;https://www.copton.com.cn,2026-06-10T00:00:00+00:00
化石能源-石油天然气-石油加工,002377,国创高新,reject,reject,,analyst_company_by_company_review,rejected because modified asphalt has project and infrastructure-cycle exposure and can be challenged by capital and customer relationships,rejected because modified asphalt has project and infrastructure-cycle exposure and can be challenged by capital and customer relationships,Reject. 国创高新: rejected because modified asphalt has project and infrastructure-cycle exposure and can be challenged by capital and customer relationships. triage 55.60; moat 52.00; technology 66.23; market 57.10; quality 52.76; governance 66.80.,"Petroleum refining review should focus on irreplaceable resource/infrastructure and integrated scale, not current oil-price margins or promotional low-carbon transition language.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002377;https://www.guochuang.com.cn,2026-06-10T00:00:00+00:00
化石能源-石油天然气-石油加工,600506,统一股份,reject,reject,,analyst_company_by_company_review,rejected because lubricants and liquid-cooling transition remain brand/channel and product-cycle businesses without enough hard-to-copy platform evidence,rejected because lubricants and liquid-cooling transition remain brand/channel and product-cycle businesses without enough hard-to-copy platform evidence,Reject. 统一股份: rejected because lubricants and liquid-cooling transition remain brand/channel and product-cycle businesses without enough hard-to-copy platform evidence. triage 55.49; moat 49.67; technology 63.92; market 58.17; quality 58.21; governance 69.20.,"Petroleum refining review should focus on irreplaceable resource/infrastructure and integrated scale, not current oil-price margins or promotional low-carbon transition language.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600506;https://www.tongyioil.com,2026-06-10T00:00:00+00:00
化石能源-石油天然气-石油加工,600028,中国石化,reject,watch,direct_watch,analyst_company_by_company_review,"retained as a national integrated oil, refining, petrochemical and retail network platform that capital alone cannot replicate","retained as a national integrated oil, refining, petrochemical and retail network platform that capital alone cannot replicate","Watch. 中国石化: retained as a national integrated oil, refining, petrochemical and retail network platform that capital alone cannot replicate. triage 55.14; moat 55.00; technology 48.85; market 75.50; quality 55.60; governance 69.00.","Petroleum refining review should focus on irreplaceable resource/infrastructure and integrated scale, not current oil-price margins or promotional low-carbon transition language.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600028;https://www.sinopec.com,2026-06-10T00:00:00+00:00
化石能源-石油天然气-石油加工,002221,东华能源,reject,reject,,analyst_company_by_company_review,rejected because LPG/PDH/polypropylene and carbon-material transition are not yet enough to overcome commodity C3-chain cyclicality,rejected because LPG/PDH/polypropylene and carbon-material transition are not yet enough to overcome commodity C3-chain cyclicality,Reject. 东华能源: rejected because LPG/PDH/polypropylene and carbon-material transition are not yet enough to overcome commodity C3-chain cyclicality. triage 54.87; moat 56.67; technology 57.00; market 64.57; quality 43.26; governance 67.60.,"Petroleum refining review should focus on irreplaceable resource/infrastructure and integrated scale, not current oil-price margins or promotional low-carbon transition language.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002221;https://www.chinadhe.com,2026-06-10T00:00:00+00:00
化石能源-石油天然气-石油加工,300839,博汇股份,reject,reject,,analyst_company_by_company_review,rejected because fuel-oil and specialty-oil processing is process-improved but lacks the resource or infrastructure moat of retained platforms,rejected because fuel-oil and specialty-oil processing is process-improved but lacks the resource or infrastructure moat of retained platforms,Reject. 博汇股份: rejected because fuel-oil and specialty-oil processing is process-improved but lacks the resource or infrastructure moat of retained platforms. triage 53.64; moat 53.33; technology 61.08; market 57.63; quality 46.99; governance 68.80.,"Petroleum refining review should focus on irreplaceable resource/infrastructure and integrated scale, not current oil-price margins or promotional low-carbon transition language.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300839;https://www.bhpcc.com,2026-06-10T00:00:00+00:00
化石能源-石油天然气-石油加工,600346,恒力石化,reject,watch,boundary_judged_watch,analyst_company_by_company_review,"retained for world-scale private refining, PTA, polyester and new-material integration, but still commodity-cycle constrained","retained for world-scale private refining, PTA, polyester and new-material integration, but still commodity-cycle constrained","Watch. 恒力石化: retained for world-scale private refining, PTA, polyester and new-material integration, but still commodity-cycle constrained. triage 52.85; moat 51.33; technology 46.38; market 72.83; quality 51.18; governance 65.40.","Petroleum refining review should focus on irreplaceable resource/infrastructure and integrated scale, not current oil-price margins or promotional low-carbon transition language.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600346;https://www.hengli.com/invest/hlsh,2026-06-10T00:00:00+00:00
化石能源-石油天然气-石油加工,600256,广汇能源,reject,watch,boundary_judged_watch,analyst_company_by_company_review,"retained for cross-resource coal, oil and gas exposure plus LNG, coal-chemical and energy-logistics infrastructure","retained for cross-resource coal, oil and gas exposure plus LNG, coal-chemical and energy-logistics infrastructure","Watch. 广汇能源: retained for cross-resource coal, oil and gas exposure plus LNG, coal-chemical and energy-logistics infrastructure. triage 52.22; moat 46.33; technology 51.15; market 65.63; quality 55.01; governance 68.60.","Petroleum refining review should focus on irreplaceable resource/infrastructure and integrated scale, not current oil-price margins or promotional low-carbon transition language.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600256;https://www.xjguanghui.com,2026-06-10T00:00:00+00:00
化石能源-石油天然气-石油加工,600688,上海石化,reject,reject,,analyst_company_by_company_review,rejected because refining/petrochemical integration is real but largely duplicated by parent Sinopec and lacks separate watchlist necessity,rejected because refining/petrochemical integration is real but largely duplicated by parent Sinopec and lacks separate watchlist necessity,Reject. 上海石化: rejected because refining/petrochemical integration is real but largely duplicated by parent Sinopec and lacks separate watchlist necessity. triage 49.17; moat 50.67; technology 42.54; market 61.37; quality 49.62; governance 69.80.,"Petroleum refining review should focus on irreplaceable resource/infrastructure and integrated scale, not current oil-price margins or promotional low-carbon transition language.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600688;https://www.spc.com.cn,2026-06-10T00:00:00+00:00
