peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
文化传媒-广播电视-有线电视,600959,江苏有线,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"large Jiangsu provincial cable-network franchise with integrated local network control, retained despite cable-industry pressure","Retained after boundary review. 江苏有线: large Jiangsu provincial cable-network franchise with integrated local network control, retained despite cable-industry pressure triage 65.24; moat 63.00; technology 59.00; market 73.30; quality 67.20; governance 69.20.","Boundary-retain regional cable networks only when the geography, broadband/IDC extension, government network role, or local monopoly is materially stronger.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600959;https://www.jscnnet.com,2026-06-09T14:34:01+00:00
文化传媒-广播电视-有线电视,000156,华数传媒,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch after peer-group company review.,"Zhejiang cable plus national interactive TV, internet TV and digital media platform with stronger new-media optionality than ordinary cable networks","Retained. 华数传媒: Zhejiang cable plus national interactive TV, internet TV and digital media platform with stronger new-media optionality than ordinary cable networks triage 65.13; moat 61.00; technology 67.75; market 77.30; quality 73.60; governance 67.40.","Directly retain companies with national or high-quality new-media/IPTV platform control, content and user access, and stronger platform optionality than ordinary provincial cable networks.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000156;https://www.wasu.com,2026-06-09T14:34:01+00:00
文化传媒-广播电视-有线电视,600637,东方明珠,borderline,watch,direct_watch,analyst_company_by_company_review,Direct watch after peer-group company review.,"SMG industrial and capital platform with IPTV/new-media, cultural consumption and Shanghai state-media resources","Retained. 东方明珠: SMG industrial and capital platform with IPTV/new-media, cultural consumption and Shanghai state-media resources triage 64.73; moat 59.00; technology 56.25; market 72.90; quality 72.00; governance 71.00.","Directly retain companies with national or high-quality new-media/IPTV platform control, content and user access, and stronger platform optionality than ordinary provincial cable networks.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600637;https://www.opg.cn,2026-06-09T14:34:01+00:00
文化传媒-广播电视-有线电视,002238,天威视讯,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"Shenzhen cable-network operator with relatively strong city economy, broadband and network-service extension","Retained after boundary review. 天威视讯: Shenzhen cable-network operator with relatively strong city economy, broadband and network-service extension triage 63.54; moat 68.00; technology 73.25; market 59.70; quality 62.20; governance 69.00.","Boundary-retain regional cable networks only when the geography, broadband/IDC extension, government network role, or local monopoly is materially stronger.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002238;https://www.topway.com.cn,2026-06-09T14:34:01+00:00
文化传媒-广播电视-有线电视,600037,歌华有线,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,Beijing cable-network operator with capital-city local network franchise and broadband/IDC optionality,Retained after boundary review. 歌华有线: Beijing cable-network operator with capital-city local network franchise and broadband/IDC optionality triage 62.40; moat 60.00; technology 60.75; market 62.50; quality 59.20; governance 70.40.,"Boundary-retain regional cable networks only when the geography, broadband/IDC extension, government network role, or local monopoly is materially stronger.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600037;https://www.bgctv.com.cn,2026-06-09T14:34:01+00:00
文化传媒-广播电视-有线电视,601929,吉视传媒,borderline,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,吉视传媒 is primarily a provincial cable or video-equipment business facing structural subscriber pressure and lacking enough scalable new-media or network-platform optionality.,Rejected for now. 吉视传媒: 吉视传媒 is primarily a provincial cable or video-equipment business facing structural subscriber pressure and lacking enough scalable new-media or network-platform optionality. triage 62.38; moat 59.00; technology 66.50; market 56.10; quality 61.00; governance 66.80.,"Reject cable companies when the asset is mainly declining cable access, weak provincial economics, or equipment supply without scalable new-media or network-platform control.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601929;https://www.jishimedia.com,2026-06-09T14:34:01+00:00
文化传媒-广播电视-有线电视,000917,电广传媒,borderline,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,电广传媒 is primarily a provincial cable or video-equipment business facing structural subscriber pressure and lacking enough scalable new-media or network-platform optionality.,Rejected for now. 电广传媒: 电广传媒 is primarily a provincial cable or video-equipment business facing structural subscriber pressure and lacking enough scalable new-media or network-platform optionality. triage 62.07; moat 61.00; technology 61.50; market 66.50; quality 75.60; governance 69.80.,"Reject cable companies when the asset is mainly declining cable access, weak provincial economics, or equipment supply without scalable new-media or network-platform control.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000917;https://www.tik.com.cn,2026-06-09T14:34:01+00:00
文化传媒-广播电视-有线电视,600996,贵广网络,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,贵广网络 is primarily a provincial cable or video-equipment business facing structural subscriber pressure and lacking enough scalable new-media or network-platform optionality.,Rejected for now. 贵广网络: 贵广网络 is primarily a provincial cable or video-equipment business facing structural subscriber pressure and lacking enough scalable new-media or network-platform optionality. triage 57.98; moat 56.00; technology 64.00; market 45.30; quality 48.60; governance 65.60.,"Reject cable companies when the asset is mainly declining cable access, weak provincial economics, or equipment supply without scalable new-media or network-platform control.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600996;https://www.gzgdwl.com,2026-06-09T14:34:01+00:00
文化传媒-广播电视-有线电视,000665,湖北广电,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,湖北广电 is primarily a provincial cable or video-equipment business facing structural subscriber pressure and lacking enough scalable new-media or network-platform optionality.,Rejected for now. 湖北广电: 湖北广电 is primarily a provincial cable or video-equipment business facing structural subscriber pressure and lacking enough scalable new-media or network-platform optionality. triage 56.55; moat 58.00; technology 66.00; market 52.10; quality 52.60; governance 66.20.,"Reject cable companies when the asset is mainly declining cable access, weak provincial economics, or equipment supply without scalable new-media or network-platform control.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000665;https://www.hrtn.net,2026-06-09T14:34:01+00:00
文化传媒-广播电视-有线电视,600831,广电网络,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,广电网络 is primarily a provincial cable or video-equipment business facing structural subscriber pressure and lacking enough scalable new-media or network-platform optionality.,Rejected for now. 广电网络: 广电网络 is primarily a provincial cable or video-equipment business facing structural subscriber pressure and lacking enough scalable new-media or network-platform optionality. triage 55.15; moat 52.00; technology 60.00; market 41.30; quality 49.60; governance 65.00.,"Reject cable companies when the asset is mainly declining cable access, weak provincial economics, or equipment supply without scalable new-media or network-platform control.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600831;https://www.600831.com,2026-06-09T14:34:01+00:00
