peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
食品饮料-饮料-软饮料,605499,东鹏饮料,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch after peer-group company review.,"national energy-drink leader with strong brand, channel execution, repeated-purchase category position, and multi-category extension.","Retained. 东鹏饮料: national energy-drink leader with strong brand, channel execution, repeated-purchase category position, and multi-category extension. triage 71.17; moat 80.00; technology 50.00; market 88.50; quality 83.00; governance 66.60.","Directly retain beverage companies with national brand, channel density, repeated-purchase category leadership, and multi-product extension evidence.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=605499;https://www.szeastroc.com,2026-06-09T15:04:31+00:00
食品饮料-饮料-软饮料,600300,维维股份,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"soy-milk brand history exists, but mixed food/grain business and weaker recent category control make it less attractive than retained beverage leaders.","Rejected for now. 维维股份: soy-milk brand history exists, but mixed food/grain business and weaker recent category control make it less attractive than retained beverage leaders. triage 68.10; moat 81.00; technology 49.00; market 79.30; quality 64.40; governance 70.80.","Reject regional, commodity, fad, or concentrate processors when branding/channel moat is insufficient or a stronger retained peer covers the thesis.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600300;https://www.vvgroup.com,2026-06-09T15:04:31+00:00
食品饮料-饮料-软饮料,603156,养元饮品,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"walnut plant-protein drink category leader with standard-setting, scale production, and entrenched brand memory.","Retained after boundary review. 养元饮品: walnut plant-protein drink category leader with standard-setting, scale production, and entrenched brand memory. triage 65.56; moat 71.00; technology 48.00; market 76.50; quality 74.00; governance 69.20.",Boundary-retain category-defining plant-protein or scarce-water-resource brands when the niche is distinct from stronger retained peers.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603156;https://www.hbyangyuan.com,2026-06-09T15:04:31+00:00
食品饮料-饮料-软饮料,600189,泉阳泉,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"Changbai Mountain mineral-water resource exposure gives a resource-backed beverage niche, but scale and execution cap conviction.","Retained after boundary review. 泉阳泉: Changbai Mountain mineral-water resource exposure gives a resource-backed beverage niche, but scale and execution cap conviction. triage 62.34; moat 74.00; technology 54.00; market 52.50; quality 68.60; governance 66.00.",Boundary-retain category-defining plant-protein or scarce-water-resource brands when the niche is distinct from stronger retained peers.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600189;https://www.jlsg.com.cn,2026-06-09T15:04:31+00:00
食品饮料-饮料-软饮料,000848,承德露露,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,almond plant-protein drink pioneer with long brand history and a differentiated niche from walnut and energy-drink leaders.,Retained after boundary review. 承德露露: almond plant-protein drink pioneer with long brand history and a differentiated niche from walnut and energy-drink leaders. triage 61.15; moat 66.00; technology 39.00; market 69.70; quality 76.60; governance 68.00.,Boundary-retain category-defining plant-protein or scarce-water-resource brands when the niche is distinct from stronger retained peers.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000848;https://www.lolo.com.cn,2026-06-09T15:04:31+00:00
食品饮料-饮料-软饮料,605198,安德利,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"concentrated juice supplier has global production footprint, but commodity fruit-juice processing has weak pricing power and cyclicality.","Rejected for now. 安德利: concentrated juice supplier has global production footprint, but commodity fruit-juice processing has weak pricing power and cyclicality. triage 59.20; moat 66.00; technology 40.00; market 58.90; quality 69.00; governance 71.00.","Reject regional, commodity, fad, or concentrate processors when branding/channel moat is insufficient or a stronger retained peer covers the thesis.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=605198;https://www.andre.com.cn,2026-06-09T15:04:31+00:00
食品饮料-饮料-软饮料,605337,李子园,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,regional sweet-milk drink brand is narrower and easier to challenge than retained category leaders.,Rejected for now. 李子园: regional sweet-milk drink brand is narrower and easier to challenge than retained category leaders. triage 57.37; moat 64.00; technology 43.00; market 52.10; quality 70.20; governance 67.40.,"Reject regional, commodity, fad, or concentrate processors when branding/channel moat is insufficient or a stronger retained peer covers the thesis.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=605337;https://www.liziyuan.com,2026-06-09T15:04:31+00:00
食品饮料-饮料-软饮料,603711,香飘飘,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"instant milk-tea brand has awareness, but category trend and product replicability weaken long-term moat.","Rejected for now. 香飘飘: instant milk-tea brand has awareness, but category trend and product replicability weaken long-term moat. triage 57.34; moat 65.00; technology 41.00; market 62.10; quality 65.00; governance 68.60.","Reject regional, commodity, fad, or concentrate processors when branding/channel moat is insufficient or a stronger retained peer covers the thesis.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603711;https://www.chinaxpp.com,2026-06-09T15:04:31+00:00
食品饮料-饮料-软饮料,600962,国投中鲁,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,concentrated juice SOE platform is commodity-exposed and lacks strong consumer brand moat.,Rejected for now. 国投中鲁: concentrated juice SOE platform is commodity-exposed and lacks strong consumer brand moat. triage 55.15; moat 67.00; technology 34.00; market 56.90; quality 58.80; governance 66.20.,"Reject regional, commodity, fad, or concentrate processors when branding/channel moat is insufficient or a stronger retained peer covers the thesis.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600962;https://zhonglu.sdic.com.cn,2026-06-09T15:04:31+00:00
食品饮料-饮料-软饮料,300997,欢乐家,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,coconut juice and canned fruit brand is useful but subscale and more replicable than retained beverage categories.,Rejected for now. 欢乐家: coconut juice and canned fruit brand is useful but subscale and more replicable than retained beverage categories. triage 53.45; moat 65.00; technology 33.00; market 52.50; quality 58.60; governance 66.80.,"Reject regional, commodity, fad, or concentrate processors when branding/channel moat is insufficient or a stronger retained peer covers the thesis.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300997;https://www.gdhlj.com,2026-06-09T15:04:31+00:00
食品饮料-饮料-软饮料,920023,*ST田野,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,fruit/vegetable raw-material and processing platform has resource links but risk-warning status and commodity exposure prevent inclusion.,Rejected for now. *ST田野: fruit/vegetable raw-material and processing platform has resource links but risk-warning status and commodity exposure prevent inclusion. triage 52.79; moat 62.00; technology 39.00; market 40.50; quality 59.80; governance 70.40.,"Reject regional, commodity, fad, or concentrate processors when branding/channel moat is insufficient or a stronger retained peer covers the thesis.",true,https://www.bse.cn/disclosure/announcement.html?companyCode=920023;https://www.tygfny.cn,2026-06-09T15:04:31+00:00
