peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
轻工制造-造纸印刷-造纸,002078,太阳纸业,borderline,watch,direct_watch,analyst_company_by_company_review,Direct watch after peer-group company review.,"globalized pulp-paper integrated platform with scale, cost curve, product breadth, overseas layout, and process awards.","Retained. 太阳纸业: globalized pulp-paper integrated platform with scale, cost curve, product breadth, overseas layout, and process awards. triage 64.89; moat 63.00; technology 62.77; market 83.50; quality 57.15; governance 68.77.","Directly retain integrated pulp-paper or specialty paper-material leaders with scale, cost curve, product breadth, process technology, and customer qualification advantages.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002078;https://www.sunpapergroup.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,603733,仙鹤股份,borderline,watch,direct_watch,analyst_company_by_company_review,Direct watch after peer-group company review.,high-performance paper-based functional material leader with rich specialty-paper categories and integrated energy/pulp/chemical chain.,Retained. 仙鹤股份: high-performance paper-based functional material leader with rich specialty-paper categories and integrated energy/pulp/chemical chain. triage 62.58; moat 58.46; technology 62.15; market 78.73; quality 60.15; governance 67.62.,"Directly retain integrated pulp-paper or specialty paper-material leaders with scale, cost curve, product breadth, process technology, and customer qualification advantages.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603733;https://www.xianhepaper.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,002521,齐峰新材,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,decorative base paper and wear-resistant paper leader with global volume position and strong flooring/furniture customers.,Retained after boundary review. 齐峰新材: decorative base paper and wear-resistant paper leader with global volume position and strong flooring/furniture customers. triage 62.16; moat 58.77; technology 68.92; market 67.50; quality 51.69; governance 71.31.,"Boundary-retain focused specialty-paper or functional-material companies when product technology, customer qualification, or category leadership is distinct from commodity paper cycles.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002521;https://www.qifeng.cn,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,603284,林平发展,borderline,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,corrugated and containerboard recycling is lower-barrier packaging paper capacity despite green-cycle positioning.,Rejected for now. 林平发展: corrugated and containerboard recycling is lower-barrier packaging paper capacity despite green-cycle positioning. triage 60.30; moat 54.23; technology 67.54; market 64.12; quality 53.31; governance 69.00.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603284;https://www.linpingzhiye.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,600308,华泰股份,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,newsprint/cultural paper and chemical integration are commodity-cycle exposure with weak current differentiation.,Rejected for now. 华泰股份: newsprint/cultural paper and chemical integration are commodity-cycle exposure with weak current differentiation. triage 59.56; moat 58.85; technology 62.92; market 71.04; quality 44.62; governance 69.23.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600308;https://www.huataipaper.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,600966,博汇纸业,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,packaging board and pulp-paper integration under APP is large but still commodity and capital-cycle exposed.,Rejected for now. 博汇纸业: packaging board and pulp-paper integration under APP is large but still commodity and capital-cycle exposed. triage 55.94; moat 51.23; technology 57.08; market 69.65; quality 48.54; governance 66.38.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600966;https://www.bohui.net,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,002511,中顺洁柔,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,tissue brand has consumer recognition but category competition and private-label pressure limit durable moat.,Rejected for now. 中顺洁柔: tissue brand has consumer recognition but category competition and private-label pressure limit durable moat. triage 55.71; moat 49.69; technology 51.31; market 68.12; quality 61.08; governance 68.69.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002511;https://www.zsjr.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,600356,恒丰纸业,reject,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"tobacco specialty thin-paper base with long history, technical know-how, and regulated customer qualification.","Retained after boundary review. 恒丰纸业: tobacco specialty thin-paper base with long history, technical know-how, and regulated customer qualification. triage 55.21; moat 47.00; technology 57.15; market 58.73; quality 59.54; governance 70.08.","Boundary-retain focused specialty-paper or functional-material companies when product technology, customer qualification, or category leadership is distinct from commodity paper cycles.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600356;https://www.hengfengpaper.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,600103,青山纸业,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,packaging paper and diversified businesses are commodity and mixed.,Rejected for now. 青山纸业: packaging paper and diversified businesses are commodity and mixed. triage 53.71; moat 54.85; technology 48.46; market 59.31; quality 51.85; governance 70.62.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600103;https://www.qingshanpaper.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,605377,华旺科技,reject,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"decorative base paper leader retained as a paired oligopoly/category thesis with Qifeng, but below broader specialty-paper platforms.","Retained after boundary review. 华旺科技: decorative base paper leader retained as a paired oligopoly/category thesis with Qifeng, but below broader specialty-paper platforms. triage 53.66; moat 44.38; technology 54.85; market 61.19; quality 53.62; governance 68.92.","Boundary-retain focused specialty-paper or functional-material companies when product technology, customer qualification, or category leadership is distinct from commodity paper cycles.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=605377;https://www.hwpaper.cn,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,301009,可靠股份,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,adult incontinence/pet hygiene products have brand/ODM value but are better treated as consumer care and not strong enough here.,Rejected for now. 可靠股份: adult incontinence/pet hygiene products have brand/ODM value but are better treated as consumer care and not strong enough here. triage 53.61; moat 46.92; technology 60.85; market 45.96; quality 59.23; governance 69.38.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=301009;https://www.cocohealthcare.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,605007,五洲特纸,reject,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"specialty paper platform across food packaging, daily consumption, publishing, industrial supporting, and industrial packaging materials.","Retained after boundary review. 五洲特纸: specialty paper platform across food packaging, daily consumption, publishing, industrial supporting, and industrial packaging materials. triage 53.61; moat 50.08; technology 49.00; market 68.27; quality 52.00; governance 65.92.","Boundary-retain focused specialty-paper or functional-material companies when product technology, customer qualification, or category leadership is distinct from commodity paper cycles.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=605007;https://www.wztzzy.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,920394,民士达,reject,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,aramid paper strategic material specialist with single-champion and专精特新 evidence; small scale keeps it boundary rather than direct.,Retained after boundary review. 民士达: aramid paper strategic material specialist with single-champion and专精特新 evidence; small scale keeps it boundary rather than direct. triage 53.41; moat 39.77; technology 61.00; market 45.04; quality 66.15; governance 70.54.,"Boundary-retain focused specialty-paper or functional-material companies when product technology, customer qualification, or category leadership is distinct from commodity paper cycles.",true,https://www.bse.cn/disclosure/announcement.html?companyCode=920394;https://www.metastar.cn,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,301469,恒达新材,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,medical/food/industrial packaging specialty paper is useful but smaller and less differentiated than retained specialty-paper leaders.,Rejected for now. 恒达新材: medical/food/industrial packaging specialty paper is useful but smaller and less differentiated than retained specialty-paper leaders. triage 53.19; moat 44.31; technology 59.69; market 48.88; quality 59.23; governance 70.77.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=301469;https://www.hengdaxincai.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,603165,荣晟环保,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,recycled packaging paper is mostly regional capacity and cost exposure.,Rejected for now. 荣晟环保: recycled packaging paper is mostly regional capacity and cost exposure. triage 52.90; moat 42.08; technology 61.62; market 53.81; quality 56.00; governance 67.08.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603165;https://www.rshbjt.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,600963,岳阳林纸,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,forestry-paper integration and carbon-sink optionality are interesting but not enough versus retained leaders.,Rejected for now. 岳阳林纸: forestry-paper integration and carbon-sink optionality are interesting but not enough versus retained leaders. triage 52.80; moat 49.31; technology 57.46; market 57.35; quality 49.46; governance 66.85.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600963;https://www.yypaper.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,600433,冠豪高新,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,thermal/carbonless label paper and央企 platform are useful but operating quality and category position are weaker than retained specialty leaders.,Rejected for now. 冠豪高新: thermal/carbonless label paper and央企 platform are useful but operating quality and category position are weaker than retained specialty leaders. triage 51.85; moat 48.92; technology 57.77; market 55.81; quality 40.62; governance 67.31.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600433;https://www.guanhao.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,600567,山鹰国际,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,packaging paper and recycling integration are commodity/cycle exposed despite scale.,Rejected for now. 山鹰国际: packaging paper and recycling integration are commodity/cycle exposed despite scale. triage 51.05; moat 48.62; technology 51.62; market 62.88; quality 42.85; governance 66.15.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600567;https://www.shanyingintl.com,2026-06-09T15:43:46+00:00
轻工制造-造纸印刷-造纸,600235,民丰特纸,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,legacy specialty paper base lacks clear current leadership versus retained specialty-paper platforms.,Rejected for now. 民丰特纸: legacy specialty paper base lacks clear current leadership versus retained specialty-paper platforms. triage 50.78; moat 41.69; technology 58.31; market 46.73; quality 50.54; governance 67.54.,"Reject commodity packaging/cultural paper, tissue brands, regional mills, ST cases, and small paper-product companies when the thesis is mostly capacity, pulp cycle, or local cost position.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600235;https://www.mfspchina.com,2026-06-09T15:43:46+00:00
