peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
金融-银行-股份制与城商行,002966,苏州银行,borderline,reject_for_now,,reviewer_explicit,rejected under explicit reviewer bank standard,"苏州银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行.","Reject for now. 苏州银行: 苏州银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行. triage 60.42; moat 76.14; technology 43.00; market 62.10; quality 67.11; governance 68.91.",Remaining banks are rejected under the explicit accepted bank rule; only the previously retained differentiated bank franchises stay on the watchlist.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002966,2026-06-10T00:00:00+00:00
金融-银行-股份制与城商行,601997,贵阳银行,reject,reject_for_now,,reviewer_explicit,rejected under explicit reviewer bank standard,"贵阳银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行.","Reject for now. 贵阳银行: 贵阳银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行. triage 59.45; moat 73.71; technology 43.00; market 63.36; quality 60.71; governance 71.83.",Remaining banks are rejected under the explicit accepted bank rule; only the previously retained differentiated bank franchises stay on the watchlist.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601997,2026-06-10T00:00:00+00:00
金融-银行-股份制与城商行,601187,厦门银行,reject,reject_for_now,,reviewer_explicit,rejected under explicit reviewer bank standard,"厦门银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行.","Reject for now. 厦门银行: 厦门银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行. triage 58.70; moat 74.71; technology 43.00; market 56.04; quality 68.09; governance 68.23.",Remaining banks are rejected under the explicit accepted bank rule; only the previously retained differentiated bank franchises stay on the watchlist.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601187,2026-06-10T00:00:00+00:00
金融-银行-股份制与城商行,600928,西安银行,reject,reject_for_now,,reviewer_explicit,rejected under explicit reviewer bank standard,"西安银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行.","Reject for now. 西安银行: 西安银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行. triage 58.46; moat 75.29; technology 43.00; market 57.99; quality 64.14; governance 68.06.",Remaining banks are rejected under the explicit accepted bank rule; only the previously retained differentiated bank franchises stay on the watchlist.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600928,2026-06-10T00:00:00+00:00
金融-银行-股份制与城商行,600000,浦发银行,reject,reject_for_now,,reviewer_explicit,rejected under explicit reviewer bank standard,"浦发银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行.","Reject for now. 浦发银行: 浦发银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行. triage 56.58; moat 68.14; technology 33.00; market 77.07; quality 61.46; governance 68.09.",Remaining banks are rejected under the explicit accepted bank rule; only the previously retained differentiated bank franchises stay on the watchlist.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600000,2026-06-10T00:00:00+00:00
金融-银行-股份制与城商行,600016,民生银行,reject,reject_for_now,,reviewer_explicit,rejected under explicit reviewer bank standard,"民生银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行.","Reject for now. 民生银行: 民生银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行. triage 55.90; moat 67.86; technology 33.00; market 74.90; quality 61.46; governance 70.14.",Remaining banks are rejected under the explicit accepted bank rule; only the previously retained differentiated bank franchises stay on the watchlist.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600016,2026-06-10T00:00:00+00:00
金融-银行-股份制与城商行,601818,光大银行,reject,reject_for_now,,reviewer_explicit,rejected under explicit reviewer bank standard,"光大银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行.","Reject for now. 光大银行: 光大银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行. triage 55.83; moat 67.29; technology 33.00; market 73.99; quality 58.71; governance 69.80.",Remaining banks are rejected under the explicit accepted bank rule; only the previously retained differentiated bank franchises stay on the watchlist.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601818,2026-06-10T00:00:00+00:00
金融-银行-股份制与城商行,601009,南京银行,reject,reject_for_now,,reviewer_explicit,rejected under explicit reviewer bank standard,"南京银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行.","Reject for now. 南京银行: 南京银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行. triage 55.52; moat 65.57; technology 33.00; market 67.13; quality 67.40; governance 66.37.",Remaining banks are rejected under the explicit accepted bank rule; only the previously retained differentiated bank franchises stay on the watchlist.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601009,2026-06-10T00:00:00+00:00
金融-银行-股份制与城商行,600015,华夏银行,reject,reject_for_now,,reviewer_explicit,rejected under explicit reviewer bank standard,"华夏银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行.","Reject for now. 华夏银行: 华夏银行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行. triage 55.41; moat 67.00; technology 33.00; market 71.81; quality 58.37; governance 69.63.",Remaining banks are rejected under the explicit accepted bank rule; only the previously retained differentiated bank franchises stay on the watchlist.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600015,2026-06-10T00:00:00+00:00
金融-银行-股份制与城商行,601077,渝农商行,reject,reject_for_now,,reviewer_explicit,rejected under explicit reviewer bank standard,"渝农商行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行.","Reject for now. 渝农商行: 渝农商行: The bank may be a useful valuation, dividend, or regional-credit study later, but it does not add a distinct quality-watch franchise beyond the already accepted bank watchlist names: 招商银行, 宁波银行, 邮储银行, and 常熟银行. triage 54.93; moat 67.71; technology 33.00; market 62.67; quality 66.14; governance 69.29.",Remaining banks are rejected under the explicit accepted bank rule; only the previously retained differentiated bank franchises stay on the watchlist.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601077,2026-06-10T00:00:00+00:00
