peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
商贸零售-贸易-贸易,000034,神州数码,reject,reject_for_now,,analyst_company_by_company_review,rejected because trade and distribution lack durable company-level moat,"神州数码 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack.","Reject for now. 神州数码: 神州数码 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack. triage 50.70; moat 49.77; technology 39.48; market 78.40; quality 42.77; governance 66.98.","Trade groups should reject ordinary distribution and commodity supply-chain spread businesses, while retaining unique market infrastructure or platform assets that capital cannot quickly reproduce.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000034,2026-06-10T00:00:00+00:00
商贸零售-贸易-贸易,600415,小商品城,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for Yiwu market infrastructure and merchant-network platform,"小商品城 is retained as a unique Yiwu physical market and online trading infrastructure operator rather than as ordinary trade. The merchant network, market operating rights, global small-commodity sourcing role, and platform data are harder to copy than a balance-sheet-funded distributor; growth quality still needs later verification, so it is boundary watch.","Watch. 小商品城: 小商品城 is retained as a unique Yiwu physical market and online trading infrastructure operator rather than as ordinary trade. The merchant network, market operating rights, global small-commodity sourcing role, and platform data are harder to copy than a balance-sheet-funded distributor; growth quality still needs later verification, so it is boundary watch. triage 50.51; moat 46.98; technology 32.84; market 72.53; quality 56.86; governance 70.47.","Trade groups should reject ordinary distribution and commodity supply-chain spread businesses, while retaining unique market infrastructure or platform assets that capital cannot quickly reproduce.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600415,2026-06-10T00:00:00+00:00
商贸零售-贸易-贸易,002556,辉隆股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because trade and distribution lack durable company-level moat,"辉隆股份 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack.","Reject for now. 辉隆股份: 辉隆股份 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack. triage 50.37; moat 49.74; technology 39.42; market 67.70; quality 45.79; governance 68.93.","Trade groups should reject ordinary distribution and commodity supply-chain spread businesses, while retaining unique market infrastructure or platform assets that capital cannot quickly reproduce.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002556,2026-06-10T00:00:00+00:00
商贸零售-贸易-贸易,001316,润贝航科,reject,reject_for_now,,analyst_company_by_company_review,rejected because trade and distribution lack durable company-level moat,"润贝航科 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack.","Reject for now. 润贝航科: 润贝航科 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack. triage 49.83; moat 46.02; technology 40.06; market 57.00; quality 57.00; governance 71.72.","Trade groups should reject ordinary distribution and commodity supply-chain spread businesses, while retaining unique market infrastructure or platform assets that capital cannot quickly reproduce.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=001316,2026-06-10T00:00:00+00:00
商贸零售-贸易-贸易,001287,中电港,reject,reject_for_now,,analyst_company_by_company_review,rejected because trade and distribution lack durable company-level moat,"中电港 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack.","Reject for now. 中电港: 中电港 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack. triage 48.42; moat 48.60; technology 33.55; market 74.02; quality 43.65; governance 66.56.","Trade groups should reject ordinary distribution and commodity supply-chain spread businesses, while retaining unique market infrastructure or platform assets that capital cannot quickly reproduce.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=001287,2026-06-10T00:00:00+00:00
商贸零售-贸易-贸易,002091,江苏国泰,reject,reject_for_now,,analyst_company_by_company_review,rejected because trade and distribution lack durable company-level moat,"江苏国泰 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack.","Reject for now. 江苏国泰: 江苏国泰 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack. triage 48.17; moat 36.91; technology 25.87; market 66.30; quality 53.19; governance 69.05.","Trade groups should reject ordinary distribution and commodity supply-chain spread businesses, while retaining unique market infrastructure or platform assets that capital cannot quickly reproduce.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002091,2026-06-10T00:00:00+00:00
商贸零售-贸易-贸易,600058,五矿发展,reject,reject_for_now,,analyst_company_by_company_review,rejected because trade and distribution lack durable company-level moat,"五矿发展 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack.","Reject for now. 五矿发展: 五矿发展 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack. triage 46.59; moat 48.14; technology 30.65; market 69.09; quality 38.26; governance 68.09.","Trade groups should reject ordinary distribution and commodity supply-chain spread businesses, while retaining unique market infrastructure or platform assets that capital cannot quickly reproduce.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600058,2026-06-10T00:00:00+00:00
商贸零售-贸易-贸易,603071,物产环能,reject,reject_for_now,,analyst_company_by_company_review,rejected because trade and distribution lack durable company-level moat,"物产环能 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack.","Reject for now. 物产环能: 物产环能 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack. triage 44.95; moat 39.67; technology 31.13; market 64.81; quality 43.88; governance 69.60.","Trade groups should reject ordinary distribution and commodity supply-chain spread businesses, while retaining unique market infrastructure or platform assets that capital cannot quickly reproduce.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603071,2026-06-10T00:00:00+00:00
商贸零售-贸易-贸易,600156,华升股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because trade and distribution lack durable company-level moat,"华升股份 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack.","Reject for now. 华升股份: 华升股份 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack. triage 44.93; moat 45.33; technology 39.68; market 50.02; quality 40.86; governance 69.77.","Trade groups should reject ordinary distribution and commodity supply-chain spread businesses, while retaining unique market infrastructure or platform assets that capital cannot quickly reproduce.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600156,2026-06-10T00:00:00+00:00
商贸零售-贸易-贸易,000019,深粮控股,reject,reject_for_now,,analyst_company_by_company_review,rejected because trade and distribution lack durable company-level moat,"深粮控股 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack.","Reject for now. 深粮控股: 深粮控股 is mainly commodity trading, import/export, electronic-component distribution, consumer-goods supply chain, or mixed trade exposure. Scale, working capital, and supplier/customer relationships help execution but generally produce spread-like economics that funded competitors can attack. triage 43.47; moat 37.12; technology 30.77; market 55.70; quality 53.19; governance 70.16.","Trade groups should reject ordinary distribution and commodity supply-chain spread businesses, while retaining unique market infrastructure or platform assets that capital cannot quickly reproduce.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000019,2026-06-10T00:00:00+00:00
