security_code,report_period,evidence_date,report_event,evidence_source,evidence_url
00700,2026-06-30,2026-08-12,中报（2026H1）,issuer_ir,https://www.tencent.com/investors/announcements/
09992,2026-06-30,2026-08-20,中报（2026H1）,issuer_ir,https://www.popmart.com.cn/home/investor
09618,2026-06-30,2026-08-13,二季报（2026Q2）,issuer_ir,https://ir.jd.com/news-releases/news-release-details/jdcom-announces-second-quarter-and-interim-2026-results
09988,2026-06-30,2026-08-20,一季报（FY2027Q1）,issuer_ir,https://www.alibabagroup.com/en-US/ir-financial-reports-quarterly-results
03690,2026-03-31,2026-06-01,一季报（2026Q1）,issuer_ir,https://www.meituan.com/en-US/investor/results
06862,2025-12-31,2026-03-24,年报（FY2025）,hkex_results,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&market=SEHK&stockId=199151
TSM,2026-06-30,2026-07-16,二季报（2026Q2）,issuer_ir,https://investor.tsmc.com/english/quarterly-results/2026/q2
ADBE,2026-05-29,2026-06-11,二季报（FY2026Q2）,issuer_ir,https://news.adobe.com/news/2026/06/adobe-q2fy26-financial-results
PDD,2026-06-30,2026-08-24,二季报（2026Q2）,issuer_ir,https://pinduoduo.gcs-web.com/news-releases/news-release-details/pdd-holdings-announces-second-quarter-2026-unaudited-financial
MU,2026-05-28,2026-06-24,三季报（FY2026Q3）,issuer_ir,https://investors.micron.com/news/press-release/2026/Micron-Technology-Inc--Reports-Record-Results-for-the-Third-Quarter-of-Fiscal-2026/default.aspx
NVDA,2026-04-26,2026-05-20,一季报（FY2027Q1）,issuer_ir,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2027/default.aspx
ASML,2026-06-28,2026-07-15,二季报（2026Q2）,issuer_ir,https://www.asml.com/en/news/press-releases/2026/q2-2026-financial-results
GOOGL,2026-06-30,2026-07-22,二季报（2026Q2）,issuer_ir,https://abc.xyz/investor/
AAPL,2026-06-27,2026-07-30,三季报（FY2026Q3）,issuer_ir,https://www.apple.com/newsroom/2026/07/apple-reports-third-quarter-results/
DIS,2026-06-27,2026-08-05,三季报（FY2026Q3）,issuer_ir,https://investors.thewaltdisneycompany.com/events-and-presentations/event-details/2026/Disneys-Q3-FY26-Earnings-Results-Webcast-2026-PXZSBx9qZg/default.aspx
UBER,2026-06-30,2026-08-05,二季报（2026Q2）,issuer_ir,https://investor.uber.com/news-events/news/press-release-details/2026/Uber-Announces-Results-for-Second-Quarter-2026/default.aspx
GLW,2026-06-30,2026-07-28,二季报（2026Q2）,issuer_ir,https://investor.corning.com/news-and-events/news/news-details/2026/Cornings-Strong-Second-Quarter-2026-Financial-Results1-Demonstrate-Progress-on-Recently-Upgraded-Springboard-Plan/default.aspx
MSFT,2026-06-30,2026-07-29,年报（FY2026）,issuer_ir,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q4/press-release-webcast
META,2026-06-30,2026-07-29,二季报（2026Q2）,issuer_ir,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx
005930,2026-06-30,2026-07-30,二季报（2026Q2）,issuer_ir,https://news.samsung.com/global/samsung-electronics-announces-second-quarter-2026-results
000660,2026-06-30,2026-07-29,二季报（2026Q2）,issuer_ir,https://news.skhynix.com/en/q2-2026-business-results-01/
BRK.B,2026-06-30,2026-08-08,二季报（2026Q2）,issuer_ir,https://www.berkshirehathaway.com/reports.html
AMD,2026-06-27,2026-08-04,二季报（2026Q2）,issuer_ir,https://ir.amd.com/news-events/press-releases/detail/1295/amd-reports-second-quarter-2026-financial-results
SPCX,2026-06-30,2026-08-04,二季报（2026Q2）,issuer_ir,https://ir.spacex.com/updates/releases-details/2026/SpaceX-to-Post-Second-Quarter-2026-Results-and-Host-Webcast-on-August-4-2026-2026-g8layJlbFm/default.aspx
TSLA,2026-06-30,2026-07-22,二季报（2026Q2）,issuer_ir,https://ir.tesla.com/press-release/tesla-releases-second-quarter-2026-financial-results
INTC,2026-06-27,2026-07-23,二季报（2026Q2）,issuer_ir,https://www.intc.com/news-events/press-releases/detail/1776/intel-reports-second-quarter-2026-financial-results
03888,2026-06-30,2026-08-19,中报（2026H1）,issuer_ir,https://www.kingsoft.com/ksnet/ft/attachment/KS-O00002026081919585617007/73bc3116-2677-48ba-8e48-dd01c7d4f3fd.pdf
00267,2026-06-30,2026-08-28,中报（2026H1）,hkex_results,https://www.citic.com/
00316,2026-06-30,2026-08-27,中报（2026H1）,hkex_results,https://www.ooilgroup.com/
