peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
基础化工-化肥农药-农药,301035,润丰股份,borderline,watch,direct_watch,analyst_company_by_company_review,direct watch for global pesticide registration and crop-protection platform,"润丰股份 is retained as a global crop-protection platform with registrations, formulation and distribution reach, and product portfolio breadth. These are harder to replicate than generic pesticide manufacturing capacity.","Watch. 润丰股份: 润丰股份 is retained as a global crop-protection platform with registrations, formulation and distribution reach, and product portfolio breadth. These are harder to replicate than generic pesticide manufacturing capacity. triage 61.63; moat 59.70; technology 63.21; market 82.29; quality 54.42; governance 67.64.",Pesticide groups should retain registration/channel platforms and process-chemistry leaders; generic pesticide capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=301035,2026-06-10T00:00:00+00:00
基础化工-化肥农药-农药,002734,利民股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because pesticide exposure is generic or covered by stronger retained peers,"利民股份: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders.","Reject for now. 利民股份: 利民股份: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders. triage 59.07; moat 56.06; technology 61.94; market 70.65; quality 57.09; governance 70.00.",Pesticide groups should retain registration/channel platforms and process-chemistry leaders; generic pesticide capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002734,2026-06-10T00:00:00+00:00
基础化工-化肥农药-农药,603599,广信股份,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for phosgene/chlorination-based pesticide process integration,广信股份 is retained as a boundary pesticide/process-chemistry case. Its value is not generic pesticide capacity but phosgene/chlorination and intermediate integration that may create route and safety-compliance barriers.,Watch. 广信股份: 广信股份 is retained as a boundary pesticide/process-chemistry case. Its value is not generic pesticide capacity but phosgene/chlorination and intermediate integration that may create route and safety-compliance barriers. triage 58.42; moat 55.15; technology 64.27; market 68.83; quality 56.12; governance 71.45.,Pesticide groups should retain registration/channel platforms and process-chemistry leaders; generic pesticide capacity is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603599,2026-06-10T00:00:00+00:00
基础化工-化肥农药-农药,600731,湖南海利,reject,reject_for_now,,analyst_company_by_company_review,rejected because pesticide exposure is generic or covered by stronger retained peers,"湖南海利: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders.","Reject for now. 湖南海利: 湖南海利: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders. triage 57.48; moat 52.73; technology 66.39; market 59.50; quality 55.70; governance 71.27.",Pesticide groups should retain registration/channel platforms and process-chemistry leaders; generic pesticide capacity is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600731,2026-06-10T00:00:00+00:00
基础化工-化肥农药-农药,002004,华邦健康,reject,reject_for_now,,analyst_company_by_company_review,rejected because pesticide exposure is generic or covered by stronger retained peers,"华邦健康: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders.","Reject for now. 华邦健康: 华邦健康: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders. triage 57.46; moat 47.48; technology 49.73; market 70.53; quality 55.76; governance 68.64.",Pesticide groups should retain registration/channel platforms and process-chemistry leaders; generic pesticide capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002004,2026-06-10T00:00:00+00:00
基础化工-化肥农药-农药,603585,苏利股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because pesticide exposure is generic or covered by stronger retained peers,"苏利股份: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders.","Reject for now. 苏利股份: 苏利股份: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders. triage 57.35; moat 54.55; technology 62.45; market 64.23; quality 54.42; governance 69.82.",Pesticide groups should retain registration/channel platforms and process-chemistry leaders; generic pesticide capacity is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603585,2026-06-10T00:00:00+00:00
基础化工-化肥农药-农药,000553,安道麦A,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for global off-patent crop-protection platform,"安道麦A is retained as a boundary global off-patent crop-protection platform. Scale, product breadth, registrations, and global channel are valuable, but weak current economics and integration complexity keep it boundary.","Watch. 安道麦A: 安道麦A is retained as a boundary global off-patent crop-protection platform. Scale, product breadth, registrations, and global channel are valuable, but weak current economics and integration complexity keep it boundary. triage 56.98; moat 60.00; technology 58.52; market 71.50; quality 47.88; governance 66.73.",Pesticide groups should retain registration/channel platforms and process-chemistry leaders; generic pesticide capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000553,2026-06-10T00:00:00+00:00
基础化工-化肥农药-农药,002942,新农股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because pesticide exposure is generic or covered by stronger retained peers,"新农股份: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders.","Reject for now. 新农股份: 新农股份: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders. triage 56.50; moat 51.52; technology 65.79; market 53.92; quality 59.64; governance 71.64.",Pesticide groups should retain registration/channel platforms and process-chemistry leaders; generic pesticide capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002942,2026-06-10T00:00:00+00:00
基础化工-化肥农药-农药,002391,长青股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because pesticide exposure is generic or covered by stronger retained peers,"长青股份: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders.","Reject for now. 长青股份: 长青股份: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders. triage 56.48; moat 55.45; technology 65.48; market 63.14; quality 45.21; governance 67.82.",Pesticide groups should retain registration/channel platforms and process-chemistry leaders; generic pesticide capacity is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002391,2026-06-10T00:00:00+00:00
基础化工-化肥农药-农药,603077,和邦生物,reject,reject_for_now,,analyst_company_by_company_review,rejected because pesticide exposure is generic or covered by stronger retained peers,"和邦生物: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders.","Reject for now. 和邦生物: 和邦生物: The company has pesticide, crop-protection, active-ingredient, formulation, distribution, or agrochemical intermediate exposure, but the evidence does not show registrations, global channels, synthesis-route moat, or product-position strength enough versus retained pesticide leaders. triage 54.21; moat 57.58; technology 53.30; market 65.08; quality 38.67; governance 70.91.",Pesticide groups should retain registration/channel platforms and process-chemistry leaders; generic pesticide capacity is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603077,2026-06-10T00:00:00+00:00
