peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
金融-非银行金融-其他非银行金融,000617,中油资本,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"CNPC financial platform with group-captive banking, trust, leasing, insurance and financial-services assets tied to a strategic energy SOE","Retained after boundary review. 中油资本: CNPC financial platform with group-captive banking, trust, leasing, insurance and financial-services assets tied to a strategic energy SOE triage 64.70; moat 82.44; technology 43.00; market 86.94; quality 64.72; governance 68.00.","Reject generic local financial holding companies, mixed industrial/investment shells, small futures companies, pawn/microfinance, department-store/payment stories, and asset-light investment narratives without durable franchise quality.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000617;https://www.cnpccapital.cn,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,000415,渤海租赁,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"large global leasing platform with Avolon aircraft leasing scale, retained with leverage and aviation-cycle discount","Retained after boundary review. 渤海租赁: large global leasing platform with Avolon aircraft leasing scale, retained with leverage and aviation-cycle discount triage 63.59; moat 80.00; technology 45.00; market 77.83; quality 61.97; governance 68.33.","Reject generic local financial holding companies, mixed industrial/investment shells, small futures companies, pawn/microfinance, department-store/payment stories, and asset-light investment narratives without durable franchise quality.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000415;https://www.bohaileasing.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,600901,江苏金租,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"A-share-listed financial leasing specialist with regulatory license, green energy, auto finance and equipment leasing niches","Retained after boundary review. 江苏金租: A-share-listed financial leasing specialist with regulatory license, green energy, auto finance and equipment leasing niches triage 62.90; moat 76.67; technology 43.00; market 77.83; quality 68.89; governance 67.33.","Reject generic local financial holding companies, mixed industrial/investment shells, small futures companies, pawn/microfinance, department-store/payment stories, and asset-light investment narratives without durable franchise quality.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600901;https://www.jsleasing.cn,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,002961,瑞达期货,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"listed futures company with nationwide license coverage and risk-management subsidiary, retained below stronger commodity ecosystem leaders","Retained after boundary review. 瑞达期货: listed futures company with nationwide license coverage and risk-management subsidiary, retained below stronger commodity ecosystem leaders triage 61.52; moat 76.33; technology 45.00; market 65.83; quality 69.22; governance 67.00.","Reject generic local financial holding companies, mixed industrial/investment shells, small futures companies, pawn/microfinance, department-store/payment stories, and asset-light investment narratives without durable franchise quality.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002961;https://www.rdqh.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,600390,五矿资本,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,China Minmetals-backed full-license financial holding platform linked to metals and industrial customers,Retained after boundary review. 五矿资本: China Minmetals-backed full-license financial holding platform linked to metals and industrial customers triage 60.85; moat 77.22; technology 43.00; market 75.39; quality 54.67; governance 70.00.,"Reject generic local financial holding companies, mixed industrial/investment shells, small futures companies, pawn/microfinance, department-store/payment stories, and asset-light investment narratives without durable franchise quality.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600390;https://www.minmetals-finance.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,000567,海德股份,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,listed distressed-asset management specialist with AMC license and data/AI-assisted personal and institutional distressed-asset strategy,Retained after boundary review. 海德股份: listed distressed-asset management specialist with AMC license and data/AI-assisted personal and institutional distressed-asset strategy triage 60.53; moat 75.22; technology 39.00; market 60.72; quality 70.67; governance 71.33.,"Reject generic local financial holding companies, mixed industrial/investment shells, small futures companies, pawn/microfinance, department-store/payment stories, and asset-light investment narratives without durable franchise quality.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000567;https://www.000567.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,002423,中粮资本,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"中粮资本 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence.","Rejected for now. 中粮资本: 中粮资本 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence. triage 56.29; moat 67.33; technology 31.00; market 73.83; quality 63.15; governance 67.67.","Reject nonbank finance companies when the advantage is mainly holding-company structure, local license collection, investment income, pawn/microfinance, or small futures brokerage scale.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002423;https://www.cofco-capital.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,000987,越秀资本,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"越秀资本 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence.","Rejected for now. 越秀资本: 越秀资本 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence. triage 56.06; moat 66.78; technology 28.00; market 73.61; quality 70.91; governance 68.00.","Reject nonbank finance companies when the advantage is mainly holding-company structure, local license collection, investment income, pawn/microfinance, or small futures brokerage scale.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000987;https://www.yuexiu-finance.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,000935,四川双马,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"四川双马 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence.","Rejected for now. 四川双马: 四川双马 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence. triage 55.10; moat 61.78; technology 44.00; market 53.61; quality 63.65; governance 71.00.","Reject nonbank finance companies when the advantage is mainly holding-company structure, local license collection, investment income, pawn/microfinance, or small futures brokerage scale.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000935;https://www.sc-shuangma.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,600120,浙江东方,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"浙江东方 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence.","Rejected for now. 浙江东方: 浙江东方 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence. triage 54.55; moat 64.00; technology 30.00; market 63.83; quality 72.74; governance 68.67.","Reject nonbank finance companies when the advantage is mainly holding-company structure, local license collection, investment income, pawn/microfinance, or small futures brokerage scale.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600120;https://www.zjorient.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,600927,永安期货,reject,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,leading state-owned futures company with commodity-risk-management ecosystem and institutional customer base,Retained after boundary review. 永安期货: leading state-owned futures company with commodity-risk-management ecosystem and institutional customer base triage 54.54; moat 64.56; technology 35.00; market 64.72; quality 68.22; governance 66.67.,"Reject generic local financial holding companies, mixed industrial/investment shells, small futures companies, pawn/microfinance, department-store/payment stories, and asset-light investment narratives without durable franchise quality.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600927;https://www.yafco.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,000532,华金资本,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"华金资本 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence.","Rejected for now. 华金资本: 华金资本 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence. triage 54.53; moat 60.67; technology 43.00; market 49.17; quality 64.28; governance 70.67.","Reject nonbank finance companies when the advantage is mainly holding-company structure, local license collection, investment income, pawn/microfinance, or small futures brokerage scale.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000532;https://www.huajinct.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,603123,翠微股份,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"翠微股份 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence.","Rejected for now. 翠微股份: 翠微股份 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence. triage 53.40; moat 68.11; technology 36.00; market 58.28; quality 54.08; governance 68.33.","Reject nonbank finance companies when the advantage is mainly holding-company structure, local license collection, investment income, pawn/microfinance, or small futures brokerage scale.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603123;https://www.cwjt.com,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,603093,南华期货,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"南华期货 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence.","Rejected for now. 南华期货: 南华期货 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence. triage 53.24; moat 62.89; technology 33.00; market 58.72; quality 63.67; governance 65.00.","Reject nonbank finance companies when the advantage is mainly holding-company structure, local license collection, investment income, pawn/microfinance, or small futures brokerage scale.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603093;https://www.nanhua.net,2026-06-09T14:34:01+00:00
金融-非银行金融-其他非银行金融,600318,新力金融,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"新力金融 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence.","Rejected for now. 新力金融: 新力金融 is a local financial holding, small futures/finance platform, investment shell, pawn/microfinance, or mixed business without enough scarce-license or global-scale franchise evidence. triage 51.91; moat 59.56; technology 39.00; market 44.72; quality 70.03; governance 69.67.","Reject nonbank finance companies when the advantage is mainly holding-company structure, local license collection, investment income, pawn/microfinance, or small futures brokerage scale.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600318;https://www.xinlijinrong.cn,2026-06-09T14:34:01+00:00
