review_batch_id,security_code,security_name,annual_report_title,current_report_title,research_report_org,research_report_title,review_status,primary_strategy_tag_final,watchlist_decision_final,quality_tier_final,moat_conclusion,peer_double_check_conclusion,bear_case_summary,base_case_summary,bull_case_summary
batch-036,601608,中信重工,中信重工2025年年度报告,中信重工2026年第一季度报告,国金证券股份有限公司,有望受益行业高景气，机器人前景广阔,reviewed_authoritative_deep_review,F-垄断资源型,zero_position_watch,L4-零仓位观察,中信重工是重型装备和矿山装备企业，制造能力强但项目制和周期属性明显，机器人仍处早期。,相比三一/徐工/中国中车等更强平台，中信重工壁垒和回报率不足，L4。,重装订单下滑，机器人业务不兑现。,矿山和新能源装备需求稳健。,机器人和高端装备放量提升估值。
batch-036,689009,九号公司,九号有限公司2025年年度报告,九号有限公司2026年第一季度报告,交银国际证券有限公司,1Q26盈利阶段性见底，关注新品上市后两轮车销量趋势；维持买入,reviewed_authoritative_deep_review,C-GARP成长型,tactical_candidate,L3-战术候选,九号公司在智能短交通和服务机器人领域具备品牌、渠道、供应链和软件生态优势。,相比普通消费电子，九号有更强产品平台；但消费品竞争和价格战限制其升L2，L3。,新品不及预期，价格竞争压缩利润。,两轮车和机器人新品带动恢复增长。,机器人和全球渠道驱动利润持续上修。
batch-036,300354,东华测试,2025年年度报告,2026年一季度报告,太平洋证券股份有限公司,营收规模稳步增长，机器人力传感器前景广阔,reviewed_authoritative_deep_review,C-GARP成长型,tactical_candidate,L3-战术候选,东华测试是结构力学测试和动态信号分析仪器企业，传感、采集、算法和工业客户形成细分壁垒。,相比联讯仪器/康斯特同类高端仪器，东华测试细分优势明确，L3。,机器人业务导入慢，测试仪器订单波动。,结构测试仪器稳健增长。,机器人力传感器放量形成第二曲线。
batch-036,688089,嘉必优,嘉必优生物技术（武汉）股份有限公司2025年年度报告,嘉必优生物技术（武汉）股份有限公司2026年第一季度报告,开源证券股份有限公司,公司信息更新报告：国际发货放缓、检修影响Q3表现，主业成长仍可期,reviewed_authoritative_deep_review,A-DCF/现金流复利型,zero_position_watch,L4-零仓位观察,嘉必优是微生物发酵营养素企业，ARA/DHA等产品有工艺积累，但食品营养添加剂竞争和客户议价明显。,相比凯赛生物等更强生物制造平台，嘉必优品类和壁垒不足，L4。,国际需求放缓，产品价格下行。,主业恢复增长。,新营养品和海外客户放量。
batch-036,688600,皖仪科技,2025年年度报告,2026年第一季度报告,国信证券股份有限公司,费用控制得当业绩高增， AI 液冷、 半导体等新行业开拓卓有成效,reviewed_authoritative_deep_review,C-GARP成长型,tactical_candidate,L3-战术候选,皖仪科技是科学仪器和分析检测设备企业，环境监测、实验室分析和新行业应用有技术积累。,相比聚光科技等平台，皖仪规模较小；但仪器技术壁垒存在，L3。,新行业拓展不及预期，费用拖累利润。,仪器业务稳健，新应用小幅贡献。,半导体/液冷检测设备放量。
batch-036,605305,中际联合,中际联合2025年年度报告,中际联合2026年第一季度报告,华鑫证券有限责任公司,公司动态研究报告：风电高景气筑业绩底盘，海外高增拓空间,reviewed_authoritative_deep_review,C-GARP成长型,tactical_candidate,L3-战术候选,中际联合是风电高空安全升降设备龙头，风电客户认证、产品可靠性和海外渠道形成细分壁垒。,相比普通风电零部件，中际联合细分龙头属性更强；但赛道较窄，L3。,风电装机放缓，海外订单下滑。,风电高景气支撑业绩。,海外市场高增，运维设备扩品类。
batch-036,603699,纽威股份,纽威股份2025年年度报告,纽威股份2026年一季度报告,中航证券有限公司,外销高增盈利超预期，平台化战略加速兑现,reviewed_authoritative_deep_review,C-GARP成长型,tactical_candidate,L3-战术候选,纽威股份是工业阀门龙头，油气、化工、核电等高端客户认证和全球化销售构成壁垒。,相比普通机械零部件，纽威全球客户和高端阀门认证更强，L3。,能源资本开支回落，外销订单下滑。,高端阀门平台稳健增长。,核电/LNG/海外客户推动利润上修。
batch-036,603129,春风动力,春风动力2025年年度报告,春风动力2026年第一季度报告,国信证券股份有限公司,2026年一季度净利润同比提升，关税及汇兑压力下彰显经营韧性,reviewed_authoritative_deep_review,C-GARP成长型,tactical_candidate,L3-战术候选,春风动力是动力运动装备和两轮车品牌企业，发动机平台、全球渠道和品牌形成差异化。,相比普通消费制造，春风动力品牌和渠道更强；但关税、汇兑和消费周期限制升档，L3。,海外消费走弱、关税汇兑压力。,新品和全球渠道支撑增长。,高端动力运动装备份额提升。
batch-036,603638,艾迪精密,艾迪精密_2025年_年度报告,艾迪精密 2026年 一季度报告,西南证券股份有限公司,液压件收入继续高增长，业绩稳步提高,reviewed_authoritative_deep_review,C-GARP成长型,zero_position_watch,L4-零仓位观察,艾迪精密是工程机械液压件和属具企业，国产替代有基础，但下游工程机械周期明显。,相比恒立液压等更强液压平台，艾迪精密壁垒和客户广度不足，L4。,工程机械需求弱，价格竞争。,液压件国产替代带动稳健增长。,高端液压产品突破。
batch-036,001359,平安电工,2025年年度报告,2026年一季度报告,环球富盛理财有限公司,云母耐温绝缘材料龙头，高端赛道稳步扩容,reviewed_authoritative_deep_review,F-垄断资源型,tactical_candidate,L3-战术候选,平安电工是云母耐温绝缘材料龙头，矿源/材料配方/下游认证形成细分壁垒。,相比普通绝缘材料厂，平安电工细分龙头属性更强；但新股和空间验证不足，L3。,下游需求放缓，价格竞争。,云母绝缘材料稳健增长。,高端耐温绝缘材料在新能源放量。
