peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
文化传媒-影视动漫-影视,603103,横店影视,reject,reject,,analyst_company_by_company_review,rejected because the listed entity is mainly cinema exhibition; the broader Hengdian ecosystem does not translate into irreplaceable listed-company IP control,rejected because the listed entity is mainly cinema exhibition; the broader Hengdian ecosystem does not translate into irreplaceable listed-company IP control,Reject. 横店影视: rejected because the listed entity is mainly cinema exhibition; the broader Hengdian ecosystem does not translate into irreplaceable listed-company IP control. triage 56.01; moat 55.22; technology 48.00; market 72.56; quality 52.00; governance 68.00.,"Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603103,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,300251,光线传媒,reject,watch,boundary_judged_watch,analyst_company_by_company_review,"retained for leading film and animation IP development plus distribution capability, while recognizing that results remain hit-cycle exposed","retained for leading film and animation IP development plus distribution capability, while recognizing that results remain hit-cycle exposed","Watch. 光线传媒: retained for leading film and animation IP development plus distribution capability, while recognizing that results remain hit-cycle exposed. triage 55.76; moat 47.89; technology 48.86; market 72.39; quality 68.00; governance 71.00.","Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300251,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,001330,博纳影业,reject,reject,,analyst_company_by_company_review,rejected because film-studio track record is project and hit dependent and lacks the regulated channel or repeatable IP-platform durability of retained peers,rejected because film-studio track record is project and hit dependent and lacks the regulated channel or repeatable IP-platform durability of retained peers,Reject. 博纳影业: rejected because film-studio track record is project and hit dependent and lacks the regulated channel or repeatable IP-platform durability of retained peers. triage 55.42; moat 56.67; technology 60.00; market 62.17; quality 40.00; governance 68.67.,"Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=001330,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,002905,金逸影视,reject,reject,,analyst_company_by_company_review,"rejected because cinema exhibition is capital intensive, cyclical and weakly differentiated","rejected because cinema exhibition is capital intensive, cyclical and weakly differentiated","Reject. 金逸影视: rejected because cinema exhibition is capital intensive, cyclical and weakly differentiated. triage 55.19; moat 54.11; technology 50.00; market 67.44; quality 53.00; governance 66.33.","Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002905,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,300133,华策影视,reject,reject,,analyst_company_by_company_review,rejected because TV and film production plus IP library remain hit-cycle exposed and are covered by stronger retained channel/IP cases,rejected because TV and film production plus IP library remain hit-cycle exposed and are covered by stronger retained channel/IP cases,Reject. 华策影视: rejected because TV and film production plus IP library remain hit-cycle exposed and are covered by stronger retained channel/IP cases. triage 54.52; moat 50.33; technology 50.29; market 69.50; quality 60.22; governance 69.67.,"Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300133,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,600977,中国电影,reject,watch,boundary_judged_watch,analyst_company_by_company_review,"retained for national film distribution and production infrastructure, including a regulated channel role that is hard for a funded entrant to replicate","retained for national film distribution and production infrastructure, including a regulated channel role that is hard for a funded entrant to replicate","Watch. 中国电影: retained for national film distribution and production infrastructure, including a regulated channel role that is hard for a funded entrant to replicate. triage 54.43; moat 48.44; technology 56.14; market 70.61; quality 50.78; governance 69.33.","Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600977,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,300182,捷成股份,reject,reject,,analyst_company_by_company_review,rejected because digital copyright and media technology assets are mixed and do not prove an irreplaceable content platform,rejected because digital copyright and media technology assets are mixed and do not prove an irreplaceable content platform,Reject. 捷成股份: rejected because digital copyright and media technology assets are mixed and do not prove an irreplaceable content platform. triage 54.31; moat 46.78; technology 55.71; market 67.28; quality 53.00; governance 70.33.,"Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300182,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,002739,儒意电影,reject,reject,,analyst_company_by_company_review,rejected because content and streaming-related assets are exposed to strategy shifts and hit cycles without enough durable moat clarity,rejected because content and streaming-related assets are exposed to strategy shifts and hit cycles without enough durable moat clarity,Reject. 儒意电影: rejected because content and streaming-related assets are exposed to strategy shifts and hit cycles without enough durable moat clarity. triage 53.15; moat 49.00; technology 45.00; market 74.83; quality 55.89; governance 66.67.,"Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002739,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,300528,幸福蓝海,reject,reject,,analyst_company_by_company_review,rejected because regional media and cinema assets lack national channel or repeatable IP-platform strength,rejected because regional media and cinema assets lack national channel or repeatable IP-platform strength,Reject. 幸福蓝海: rejected because regional media and cinema assets lack national channel or repeatable IP-platform strength. triage 50.59; moat 46.44; technology 57.00; market 51.28; quality 51.22; governance 66.00.,"Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300528,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,603721,*ST天择,reject,reject,,analyst_company_by_company_review,rejected because ST status and small media-service exposure raise the evidence bar and no durable platform moat is visible,rejected because ST status and small media-service exposure raise the evidence bar and no durable platform moat is visible,Reject. *ST天择: rejected because ST status and small media-service exposure raise the evidence bar and no durable platform moat is visible. triage 50.55; moat 41.22; technology 57.57; market 48.39; quality 56.33; governance 68.67.,"Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603721,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,600088,中视传媒,reject,reject,,analyst_company_by_company_review,rejected because CCTV-related history does not currently prove a standalone listed-company moat strong enough for this quality watchlist,rejected because CCTV-related history does not currently prove a standalone listed-company moat strong enough for this quality watchlist,Reject. 中视传媒: rejected because CCTV-related history does not currently prove a standalone listed-company moat strong enough for this quality watchlist. triage 50.24; moat 47.56; technology 50.00; market 56.39; quality 45.89; governance 70.67.,"Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600088,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,600715,文投控股,reject,reject,,analyst_company_by_company_review,"rejected because restructuring, project exposure and weak operating platform evidence dominate the thesis","rejected because restructuring, project exposure and weak operating platform evidence dominate the thesis","Reject. 文投控股: rejected because restructuring, project exposure and weak operating platform evidence dominate the thesis. triage 48.33; moat 40.11; technology 59.00; market 42.61; quality 51.11; governance 70.00.","Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600715,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,601595,上海电影,reject,reject,,analyst_company_by_company_review,rejected because cinema and local IP development are promising but not yet distinct enough from retained national channel/IP platforms,rejected because cinema and local IP development are promising but not yet distinct enough from retained national channel/IP platforms,Reject. 上海电影: rejected because cinema and local IP development are promising but not yet distinct enough from retained national channel/IP platforms. triage 48.28; moat 42.00; technology 38.00; market 57.00; quality 62.56; governance 69.00.,"Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601595,2026-06-10T00:00:00+00:00
文化传媒-影视动漫-影视,002343,慈文传媒,reject,reject,,analyst_company_by_company_review,rejected because content production remains hit-driven and lacks evidence of a repeatable irreplaceable IP system,rejected because content production remains hit-driven and lacks evidence of a repeatable irreplaceable IP system,Reject. 慈文传媒: rejected because content production remains hit-driven and lacks evidence of a repeatable irreplaceable IP system. triage 47.98; moat 41.78; technology 54.00; market 47.94; quality 46.67; governance 68.33.,"Film and television companies should be screened for durable channel or IP-platform control rather than one-off box-office optionality, cinema-chain scale, or turnaround beta.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002343,2026-06-10T00:00:00+00:00
