peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
基础化工-化学制品-其他化学制品,300019,硅宝科技,direct_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as a high-end organic-silicone sealant and silane-material leader,硅宝科技在高端有机硅密封材料、硅烷偶联剂和热熔压敏胶中有规模、技术、客户和应用场景积累，建筑、新能源、电子和汽车用胶需要配方、认证和长期可靠性。,Watch. 硅宝科技: 硅宝科技在高端有机硅密封材料、硅烷偶联剂和热熔压敏胶中有规模、技术、客户和应用场景积累，建筑、新能源、电子和汽车用胶需要配方、认证和长期可靠性。 triage 81.55; moat 87.06; technology 89.21; market 91.42; quality 67.25; governance 69.02.,"Retain silicone-material leaders when formulation know-how, application qualification, and scale reinforce each other.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300019;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300019.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300019.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=300019;www.guibao.cn,2026-06-09T13:57:45+00:00
基础化工-化学制品-其他化学制品,002632,道明光学,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,"boundary case retained for reflective materials, optical films, and functional polymer materials",道明光学在反光材料、光学电子材料和功能性薄膜中有技术和全球客户基础，但规模和盈利质量弱于直接关注材料平台。,Watch. 道明光学: 道明光学在反光材料、光学电子材料和功能性薄膜中有技术和全球客户基础，但规模和盈利质量弱于直接关注材料平台。 triage 63.41; moat 54.82; technology 62.40; market 66.92; quality 58.78; governance 70.32.,Boundary retain optical/reflective film leaders when product certification and niche leadership are visible.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002632;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002632.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002632.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=002632;www.chinadaoming.com,2026-06-09T13:57:45+00:00
基础化工-化学制品-其他化学制品,603683,晶华新材,boundary_watch,reject_for_now,,analyst_company_by_company_review,rejected because it is a battery-chemical follower already covered by stronger retained platforms,公司涉及锂盐、电解液或电池材料，但能力弱于新宙邦等已保留平台，缺少独立不可替代优势。,Reject for now. 晶华新材: 公司涉及锂盐、电解液或电池材料，但能力弱于新宙邦等已保留平台，缺少独立不可替代优势。 triage 61.52; moat 53.19; technology 62.82; market 67.73; quality 51.81; governance 67.68.,Reject battery-chemical followers when stronger retained platforms already cover the thesis.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603683;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603683.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603683.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603683;www.smithcn.com,2026-06-09T13:57:45+00:00
基础化工-化学制品-其他化学制品,002601,龙佰集团,boundary_watch,watch,direct_watch,analyst_company_by_company_review,"directly retained as an integrated titanium dioxide, titanium, zirconium, and new-material platform",龙佰集团是钛白粉和钛/锆产业链龙头，拥有大规模生产、资源和氯化法/硫酸法工艺积累，普通钛白粉公司难以复制其产业链整合。,Watch. 龙佰集团: 龙佰集团是钛白粉和钛/锆产业链龙头，拥有大规模生产、资源和氯化法/硫酸法工艺积累，普通钛白粉公司难以复制其产业链整合。 triage 60.88; moat 62.93; technology 60.84; market 83.21; quality 49.32; governance 66.86.,"Retain titanium/zirconium chemical platforms when resource, process, and scale integration are clear.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002601;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002601.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002601.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=002601;www.lomonbillions.com,2026-06-09T13:57:45+00:00
基础化工-化学制品-其他化学制品,688550,瑞联新材,boundary_watch,watch,direct_watch,analyst_company_by_company_review,"directly retained as an OLED, liquid-crystal, and pharmaceutical-intermediate specialty-material supplier",瑞联新材专注OLED材料、单体液晶和创新药中间体，复杂合成、客户认证和显示/医药供应链验证形成较高壁垒。,Watch. 瑞联新材: 瑞联新材专注OLED材料、单体液晶和创新药中间体，复杂合成、客户认证和显示/医药供应链验证形成较高壁垒。 triage 60.56; moat 55.11; technology 67.12; market 68.42; quality 63.27; governance 71.57.,Retain display and pharma-intermediate material suppliers when synthesis difficulty and customer qualification are clear.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH688550;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688550.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688550.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=688550;www.xarlm.com,2026-06-09T13:57:45+00:00
基础化工-化学制品-其他化学制品,001369,双欣材料,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for integrated PVA and downstream specialty-material chain,双欣材料围绕聚乙烯醇建立电石、醋酸乙烯、PVA和下游助剂一体化体系，PVA规模和后续高附加值延伸值得观察，但上市历史较短。,Watch. 双欣材料: 双欣材料围绕聚乙烯醇建立电石、醋酸乙烯、PVA和下游助剂一体化体系，PVA规模和后续高附加值延伸值得观察，但上市历史较短。 triage 60.18; moat 57.77; technology 61.58; market 76.48; quality 55.29; governance 70.71.,Boundary retain integrated PVA platforms when scale and downstream extension are visible but public history is short.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001369;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001369.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001369.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=001369;www.shuangxinpva.com,2026-06-09T13:57:45+00:00
基础化工-化学制品-其他化学制品,688548,广钢气体,boundary_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as an electronic bulk gas platform with semiconductor and display qualification barriers,广钢气体聚焦电子大宗气体和工业气体综合服务，气体制备、现场供气、储运、数字化运维和半导体/显示客户认证构成高壁垒。,Watch. 广钢气体: 广钢气体聚焦电子大宗气体和工业气体综合服务，气体制备、现场供气、储运、数字化运维和半导体/显示客户认证构成高壁垒。 triage 60.04; moat 59.55; technology 61.62; market 72.36; quality 59.53; governance 69.28.,"Retain electronic-gas platforms when customer qualification, onsite operation, and supply reliability are hard to replicate.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH688548;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688548.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688548.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=688548;www.ggas.com,2026-06-09T13:57:45+00:00
基础化工-化学制品-其他化学制品,002246,北化股份,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for military-civil nitrocellulose and chemical-defense adjacent capability,北化股份的硝化棉和军民结合背景有特殊资质和客户壁垒，泵业/防化等资产使其不只是普通化工，但业务结构较杂。,Watch. 北化股份: 北化股份的硝化棉和军民结合背景有特殊资质和客户壁垒，泵业/防化等资产使其不只是普通化工，但业务结构较杂。 triage 59.92; moat 59.76; technology 60.52; market 72.62; quality 60.00; governance 68.76.,Boundary retain defense-adjacent chemical platforms when qualification is real but business mix is noisy.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002246;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002246.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002246.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=002246;bhgf.norincogroup.com.cn,2026-06-09T13:57:45+00:00
基础化工-化学制品-其他化学制品,603681,永冠新材,reject,reject_for_now,,analyst_company_by_company_review,rejected because it is a weaker adhesive or tape-material peer covered by retained silicone and adhesive leaders,公司有胶粘材料、胶带或密封胶能力，但技术、客户和品类地位弱于硅宝科技、回天新材等保留公司。,Reject for now. 永冠新材: 公司有胶粘材料、胶带或密封胶能力，但技术、客户和品类地位弱于硅宝科技、回天新材等保留公司。 triage 59.40; moat 62.14; technology 61.72; market 77.11; quality 45.74; governance 66.65.,Reject weaker adhesive peers when stronger retained companies cover the same formulation thesis.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603681;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603681.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603681.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603681;www.ygtape.com,2026-06-09T13:57:45+00:00
基础化工-化学制品-其他化学制品,603212,赛伍技术,reject,reject_for_now,,analyst_company_by_company_review,rejected because the specialty-chemical niche lacks enough independent moat after peer comparison,公司有一定精细化工或新材料能力，但在本组同行比较中，客户认证、工艺壁垒、市场份额或定价权不足，且相关主题已被更强公司覆盖。,Reject for now. 赛伍技术: 公司有一定精细化工或新材料能力，但在本组同行比较中，客户认证、工艺壁垒、市场份额或定价权不足，且相关主题已被更强公司覆盖。 triage 59.14; moat 56.62; technology 61.89; market 62.29; quality 37.01; governance 68.63.,Reject specialty-chemical niches when process know-how or customer lock-in is not strong enough versus retained peers.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603212;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603212.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603212.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603212;www.cybrid.com.cn,2026-06-09T13:57:45+00:00
