market_type,market_label,security_code,symbol,company_name,quality_tier_l1_l5,primary_strategy_tag,strategy_family,valuation_tier,valuation_reason,current_price,quote_pe_or_pe_ttm,suggested_position_range_pct,max_single_name_pct,allocation_priority,current_action,buy_or_add_triggers,reduce_or_exit_conditions,key_metrics_to_track,source_urls,price_source,analysis_reviewed_at_utc
US,美股,ADBE,ADBE,Adobe Inc.,L2-准核心候选,E-落难白马候选,E-落难白马型,较低估,现金流和创意软件生态仍强，但生成式AI对定价权和增长中枢有真实冲击；只有右侧修复或AI产品收入验证后才应提高仓位。,204.02,11.67,2%-4%,5%,观察/小仓验证,小仓观察/右侧确认后加仓,财报验证订阅增长恢复；AI功能带来ARPU或留存提升；利润率未被AI推理成本显著压制；股价突破后回踩不破。,AI替代创意入口被证实；订阅增长连续下台阶；利润率被AI成本或竞争压制；管理层资本配置恶化；右侧突破失败。,Creative ARR/订阅收入；Digital Media ARR；Document Cloud增长；经营利润率；FCF；回购；AI产品付费转化。,https://www.adobe.com/investor-relations.html,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
HK,港股,02228,02228.HK,晶泰控股 / XtalPi,L4-零仓位观察,D-产业链爆发型,D-产业链爆发型,高估,AI4S和机器人实验室有长期期权，但利润票、现金流和可复制订单尚未充分验证；当前PE极高，不能按低估处理。,7.04,221.13,0%-1%,1.5%,零仓或哨兵,只保留哨兵或零仓观察,财报验证收入可持续转化；AI4S智慧解决方案和药物发现解决方案同步增长；标杆药企/材料客户扩大合作；机器人实验室产能利用率提升；经营现金流接近转正。,订单无法转化为收入；项目型收入高度一次性；毛利率或费用率恶化；经营现金流持续流出且依赖融资；AI药物发现行业景气继续下行；估值提前计入过高AI叙事。,总收入；分部收入：药物发现解决方案/AI4S智慧解决方案；毛利率；研发费用率；经营现金流；现金余额；创收客户数；大客户复购；管线/IND进展；材料科学订单。,https://ir.xtalpi.com/cn/investor-relations/financial-reports/|https://ir.xtalpi.com/media/vanfv1am/2026032501036_c.pdf,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
HK,港股,03888,03888.HK,金山软件 / Kingsoft,L1-核心候选,G-股东回报型低估/控股公司折价候选,G-股东回报型低估,低估,金山软件以控股平台折价间接持有金山办公，并包含金山云期权、游戏业务和现金；买入逻辑是控股折价修复和办公AI持续验证。,23.48,14.62,4%-7%,10%,准核心/低估修复主仓,可作为港股低估修复主仓之一,金山办公收入和付费用户继续增长；金山软件经营现金流改善；游戏新品或长线运营验证；金山云AI云亏损收窄；折价收敛前估值仍有安全边际。,金山办公估值或增长被证伪；游戏业务继续下滑且无新品接力；控股公司折价长期无释放路径；金山云AI云重资本投入拖累现金流；管理层资本配置恶化。,金山软件市值与所持金山办公股权价值折价；金山办公收入/WPS AI月活/付费用户；游戏收入；现金和银行存款；回购和分红；金山云收入、毛利率、亏损和资本开支。,https://ir.kingsoft.com/|https://ir.kingsoft.com/static-files/999c2fb6-9739-4c00-a3d7-ec00dc5430b6|https://ir.kingsoft.com/system/files-encrypted/nasdaq_kms/news/2026/05/27/5-04-28/%5BPress%20Release%5D%20Kingsoft%20Announces%202026%20First%20Quarter%20Results.pdf,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
US,美股,FINV,FINV,FinVolution Group,L3-战术候选,B-烟蒂低估/G-股东回报型低估,B-烟蒂深度低估型,低估,估值低且股东回报明确，但信用周期和业务质量决定其只能作为烟蒂/股东回报仓，不进核心。,5.03,4.13,2%-4%,5%,烟蒂小仓,烟蒂仓，不进核心,海外业务收入和经营利润连续增长；中国大陆交易量恢复；贷款质量改善；2026年收入指引不再下修；回购价格低于内在价值并持续注销或减少ADS。,国内监管或信用质量恶化；90天以上逾期率上升；收入指引继续下降；海外扩张亏损放大；回购停止且现金被低效投资；金融监管导致盈利模型被重估。,总交易量；中国大陆/海外收入；海外经营利润；90天以上逾期率；现金和短期投资；股东权益；分红率；回购金额；收入指引。,https://ir.finvgroup.com/2026-05-25-FinVolution-Group-Reports-First-Quarter-2026-Unaudited-Financial-Results|https://ir.finvgroup.com/2026-05-25-FinVolution-Group-Announces-New-Share-Repurchase-Program-of-Up-to-US-150-million|https://stockanalysis.com/stocks/finv/,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
US,美股,WB,WB,Weibo Corporation,L3-战术候选,G-股东回报型低估/E-落难平台候选,G-股东回报型低估,低估,现金流和回购提供低估支撑，但增长弱、平台竞争力下降，不能进入核心。,7.64,5.34,2%-4%,5%,低估平台小仓,低估平台仓,非阿里广告收入继续增长；经营利润率稳定在25%以上；VAS下滑收窄；投资公允价值损失减少；现金和短投维持高位；股东回报政策延续。,用户活跃度下降；广告增长再次转负；监管和内容风险上升；非经营投资亏损持续侵蚀利润；高股息不可持续；平台影响力被短视频和小红书等替代。,MAU；DAU；广告和营销收入；非阿里广告收入；VAS收入；经营利润率；经营现金流；现金和短期投资；股息率；投资公允价值损益。,https://www.sec.gov/Archives/edgar/data/1595761/000110465926067141/tm2615571d1_ex99-1.htm|https://stockanalysis.com/stocks/wb/,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
US,美股,PDD,PDD,PDD Holdings Inc.,L1-核心候选,C-GARP平台型低估,C-GARP成长型,低估,平台盈利、现金资产和全球化业务提供GARP低估逻辑；主要风险是监管、竞争和利润率回归。,81.56,8.72,6%-10%,12%,核心/美股优先,美股账户优先配置候选,交易服务收入继续增长；经营利润率维持高位；经营现金流持续为正；供应链投入转化为商家供给和履约优势；国内主站竞争优势未被价格战侵蚀。,Temu政策风险扩大；供应链和一方品牌投入长期压低利润；国内电商竞争导致货币化率下降；没有分红回购导致现金折价长期存在；平台治理或跨境监管风险上升。,总收入；交易服务收入；在线营销收入；经营利润率；Non-GAAP净利；经营现金流；现金/短投/其他债券投资；Temu政策变化；股东回报动作。,https://www.sec.gov/Archives/edgar/data/1737806/000110465926067186/tm2615739d1_ex99-1.htm|https://stockanalysis.com/stocks/pdd/,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
US,美股,JD,JD,JD.com Inc.,L3-战术候选,E-落难白马/G-股东回报型低估,E-落难白马型,较低估,供应链和回购有价值，但增长和新业务拖累使其优先级低于PDD、腾讯、快手。,28.56,21.28,2%-4%,5%,观察/小仓,观察，不优先于PDD/腾讯/快手,零售服务收入和广告/平台收入增长；物流外部收入提升且利润率改善；外卖业务单位经济改善；年度自由现金流恢复；回购减少股本。,外卖价格战长期化；欧洲并购和海外扩张消耗现金；零售主业增长停滞；自由现金流持续低迷；低毛利重资产模式被市场继续低估。,JD Retail收入和经营利润率；JD Logistics外部收入和利润；New Businesses亏损；自由现金流；现金和短投；回购金额；年度活跃客户和购物频次。,https://www.sec.gov/Archives/edgar/data/1549802/000119312526218013/d128173dex991.htm|https://stockanalysis.com/stocks/jd/,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,002594,002594.SZ,比亚迪 / BYD,L1-核心候选,C-GARP成长/产业链龙头,C-GARP成长型,较高估,PE约30.3，但2026Q1收入/利润同比约3.5%/-19.0%，净利率约4.2%；技术和规模优势仍强，当前估值需要单车利润和海外业务明显修复。 产业链瓶颈估值：看需求票、瓶颈票、利润票和2-3年正常化利润。,91.60,30.31,4%-7%,10%,持有观察，等利润率改善再加仓,持有观察，等利润率改善再加仓,毛利率和净利率止跌；经营现金流改善；海外销量和高端品牌放量；动力电池外供或储能业务利润提升；研发投入继续保持领先。,价格战导致利润率持续下台阶；新能源车份额被持续侵蚀；库存和应收恶化；资本开支回报低于预期；技术路线被竞争对手反超。,汽车销量；单车利润；毛利率；经营现金流；出口销量；高端品牌销量；电池装机和外供；研发费用率。,data/interim/a_share_financial_indicators.csv|https://static.cninfo.com.cn/finalpage/enpage/002594_2.pdf|https://qt.gtimg.cn/q=sz002594,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,688617,688617.SH,惠泰医疗 / Apt Medical,L2-准核心候选,C-GARP成长/医疗器械高壁垒,C-GARP成长型,中性,PE约33.5，收入/利润同比约25.1%/21.9%，电生理/PFA和介入壁垒强；但PB约10且增长需持续验证，当前估值大致合理。 GARP估值：看可防守增长、现金流转化和2-3年PEG。,205.00,33.47,3%-5%,8%,准核心观察,准核心观察,收入和利润继续双位数增长；毛利率稳定；研发投入转化为新品；海外或新科室放量；经营现金流跟随利润增长。,集采或价格管制显著压缩利润；核心产品增长放缓；研发管线失败；费用率失控；估值严重透支未来增长。,电生理收入；血管介入收入；毛利率；净利率；研发费用率；经营现金流；新品注册和放量；集采政策。,data/interim/a_share_financial_indicators.csv|https://qt.gtimg.cn/q=sh688617,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
A_SHARE,A股,300760,300760.SZ,迈瑞医疗 / Mindray,L1-核心候选,E-落难白马/医疗器械平台,E-落难白马型,中性,PE约23.4已明显低于历史高位，但2026Q1收入/利润同比约-9%/-30%，采购周期和增长修复仍需验证；按GARP只能给中性，等待业绩企稳后再重评较低估。 GARP估值：看可防守增长、现金流转化和2-3年PEG。,151.04,23.37,3%-6%,8%,等待业绩止跌/采购恢复,等待业绩止跌/采购恢复,体外诊断、生命信息与支持、医学影像收入恢复；毛利率稳定；费用控制有效；海外高端市场渗透提升。,增长中枢长期下移；核心产品被国产同行侵蚀；控费导致利润率持续下降；海外扩张不及预期；估值仍高但增长无法匹配。,分部收入；毛利率；净利率；经营现金流；海外收入；医院招采恢复；研发费用率。,data/interim/a_share_financial_indicators.csv|https://www.mindray.com/en/investor-relations|https://qt.gtimg.cn/q=sz300760,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-14T20:35:13+00:00
